source_gene,gene_name
Gene::8546,AP3B1
Gene::23476,BRD4
Gene::6046,BRD2
Gene::10283,CWC27
Gene::124245,ZC3H18
Gene::57153,SLC44A2
Gene::9512,PMPCB
Gene::10897,YIF1A
Gene::481,ATP1B1
Gene::34,ACADM
Gene::2108,ETFA
Gene::2040,STOM
Gene::2677,GGCX
Gene::523,ATP6V1A
Gene::5714,PSMD8
Gene::7905,REEP5
Gene::23203,PMPCA
Gene::196527,ANO6
Gene::10531,PITRM1
Gene::10463,SLC30A9
Gene::60493,FASTKD5
Gene::148867,SLC30A7
Gene::10426,TUBGCP3
Gene::79934,COQ8B
Gene::113174,SAAL1
Gene::92840,REEP6
Gene::92105,INTS4
Gene::89874,SLC25A21
Gene::10844,TUBGCP2
Gene::80222,TARS2
Gene::57142,RTN4
Gene::51439,FAM8A1
Gene::10157,AASS
Gene::26993,AKAP8L
Gene::25980,AAR2
Gene::28969,BZW2
Gene::9136,RRP9
Gene::26986,PABPC1
Gene::1459,CSNK2A2
Gene::1460,CSNK2B
Gene::10146,G3BP1
Gene::8761,PABPC4
Gene::23367,LARP1
Gene::25940,FAM98A
Gene::79753,SNIP1
Gene::5976,UPF1
Gene::4343,MOV10
Gene::9908,G3BP2
Gene::9188,DDX21
Gene::55131,RBM28
Gene::25873,RPL36
Gene::51125,GOLGA7
Gene::25921,ZDHHC5
Gene::5422,POLA1
Gene::5557,PRIM1
Gene::5558,PRIM2
Gene::23649,POLA2
Gene::79709,COLGALT1
Gene::5318,PKP2
Gene::161,AP2A2
Gene::2671,GFER
Gene::57222,ERGIC1
Gene::1173,AP2M1
Gene::80273,GRPEL1
Gene::6902,TBCA
Gene::55206,SBNO1
Gene::10295,BCKDK
Gene::10270,AKAP8
Gene::23077,MYCBP2
Gene::10569,SLU7
Gene::8737,RIPK1
Gene::9898,UBAP2L
Gene::219743,TYSND1
Gene::51248,PDZD11
Gene::84726,PRRC2B
Gene::55833,UBAP2
Gene::24149,ZNF318
Gene::64784,CRTC3
Gene::159195,USP54
Gene::29066,ZC3H7A
Gene::23185,LARP4B
Gene::55285,RBM41
Gene::6938,TCF12
Gene::53938,PPIL3
Gene::54477,PLEKHA5
Gene::9755,TBKBP1
Gene::11113,CIT
Gene::3281,HSBP1
Gene::5116,PCNT
Gene::11116,CEP43
Gene::5576,PRKAR2A
Gene::5566,PRKACA
Gene::5577,PRKAR2B
Gene::5962,RDX
Gene::1063,CENPF
Gene::7088,TLE1
Gene::7090,TLE3
Gene::166,TLE5
Gene::2802,GOLGA3
Gene::2801,GOLGA2
Gene::2804,GOLGB1
Gene::56850,GRIPAP1
Gene::9857,CEP350
Gene::9659,PDE4DIP
Gene::9662,CEP135
Gene::23177,CEP68
Gene::11064,CNTRL
Gene::23085,ERC1
Gene::9648,GCC2
Gene::79745,CLIP4
Gene::51199,NIN
Gene::201134,CEP112
Gene::145282,MIPOL1
Gene::8975,USP13
Gene::79571,GCC1
Gene::152789,JAKMIP1
Gene::55755,CDK5RAP2
Gene::10142,AKAP9
Gene::64689,GORASP1
Gene::79443,FYCO1
Gene::79078,C1orf50
Gene::11190,CEP250
Gene::29110,TBK1
Gene::51361,HOOK1
Gene::22981,NINL
Gene::2717,GLA
Gene::3615,IMPDH2
Gene::23408,SIRT5
Gene::10204,NUTF2
Gene::382,ARF6
Gene::10193,RNF41
Gene::11001,SLC27A2
Gene::9470,EIF4E2
Gene::5447,POR
Gene::5910,RAP1GDS1
Gene::23325,WASHC4
Gene::23307,FKBP15
Gene::26058,GIGYF2
Gene::3416,IDE
Gene::26519,TIMM10
Gene::440138,ALG11
Gene::23225,NUP210
Gene::90580,TIMM29
Gene::55735,DNAJC11
Gene::26515,TIMM10B
Gene::26520,TIMM9
Gene::3066,HDAC2
Gene::2876,GPX1
Gene::55621,TRMT1
Gene::10632,ATP5MG
Gene::537,ATP6AP1
Gene::10280,SIGMAR1
Gene::79572,ATP13A3
Gene::8540,AGPS
Gene::80777,CYB5B
Gene::2181,ACSL3
Gene::1727,CYB5R3
Gene::5898,RALA
Gene::1312,COMT
Gene::5878,RAB5C
Gene::7879,RAB7A
Gene::4218,RAB8A
Gene::5862,RAB2A
Gene::10890,RAB10
Gene::51552,RAB14
Gene::387,RHOA
Gene::5861,RAB1A
Gene::2782,GNB1
Gene::2787,GNG5
Gene::10960,LMAN2
Gene::7841,MOGS
Gene::26092,TOR1AIP1
Gene::64757,MTARC1
Gene::169714,QSOX2
Gene::9653,HS2ST1
Gene::91942,NDUFAF2
Gene::51097,SCCPDH
Gene::949,SCARB1
Gene::57106,NAT14
Gene::79877,DCAKD
Gene::26355,FAM162A
Gene::131118,DNAJC19
Gene::55829,SELENOS
Gene::80142,PTGES2
Gene::22931,RAB18
Gene::10199,MPHOSPH10
Gene::6731,SRP72
Gene::11101,ATE1
Gene::7468,NSD2
Gene::6728,SRP19
Gene::6729,SRP54
Gene::64432,MRPS25
Gene::1662,DDX10
Gene::51574,LARP7
Gene::56257,MEPCE
Gene::25983,NGDN
Gene::11340,EXOSC8
Gene::79731,NARS2
Gene::79954,NOL10
Gene::79080,CCDC86
Gene::51091,SEPSECS
Gene::56915,EXOSC5
Gene::51010,EXOSC3
Gene::26574,AATF
Gene::25831,HECTD1
Gene::51116,MRPS2
Gene::64969,MRPS5
Gene::23404,EXOSC2
Gene::23107,MRPS27
Gene::2963,GTF2F2
Gene::2200,FBN1
Gene::2201,FBN2
Gene::8021,NUP214
Gene::23636,NUP62
Gene::10238,DCAF7
Gene::7458,EIF4H
Gene::53371,NUP54
Gene::57534,MIB1
Gene::23111,SPART
Gene::91754,NEK9
Gene::84858,ZNF503
Gene::4927,NUP88
Gene::9818,NUP58
Gene::27430,MAT2B
Gene::10516,FBLN5
Gene::5538,PPT1
Gene::8453,CUL2
Gene::55700,MAP7D1
Gene::79178,THTPA
Gene::79699,ZYG11B
Gene::26521,TIMM8B
Gene::9978,RBX1
Gene::6921,ELOC
Gene::6923,ELOB
Gene::3162,HMOX1
Gene::286827,TRIM59
Gene::151188,ARL6IP6
Gene::23339,VPS39
Gene::23155,CLCC1
Gene::55823,VPS11
Gene::25777,SUN2
Gene::29880,ALG5
Gene::30968,STOML2
Gene::4928,NUP98
Gene::8480,RAE1
Gene::23787,MTCH1
Gene::55027,HEATR3
Gene::23195,MDN1
Gene::5352,PLOD2
Gene::1861,TOR1A
Gene::8614,STC2
Gene::5327,PLAT
Gene::3688,ITGB1
Gene::284106,CISD3
Gene::1291,COL6A1
Gene::5817,PVR
Gene::1786,DNMT1
Gene::4015,LOX
Gene::5046,PCSK6
Gene::83729,INHBE
Gene::10577,NPC2
Gene::4240,MFGE8
Gene::10956,OS9
Gene::4884,NPTX1
Gene::79070,POGLUT2
Gene::143888,POGLUT3
Gene::56605,ERO1B
Gene::23646,PLD3
Gene::80020,FOXRED2
Gene::79586,CHPF
Gene::126789,PUSL1
Gene::23065,EMC1
Gene::8836,GGH
Gene::27248,ERLEC1
Gene::23765,IL17RA
Gene::55768,NGLY1
Gene::90161,HS6ST2
Gene::6388,SDF2
Gene::4758,NEU1
Gene::9518,GDF15
Gene::80213,TM2D3
Gene::23071,ERP44
Gene::80267,EDEM3
Gene::64374,SIL1
Gene::23509,POFUT1
Gene::64093,SMOC1
Gene::79666,PLEKHF2
Gene::54850,FBXL12
Gene::55757,UGGT2
Gene::54480,CHPF2
Gene::9510,ADAMTS1
Gene::10525,HYOU1
Gene::51661,FKBP7
Gene::8754,ADAM9
Gene::60681,FKBP10
Gene::9368,NHERF1
Gene::27243,CHMP2A
Gene::7812,CSDE1
Gene::9868,TOMM70
Gene::4140,MARK3
Gene::2011,MARK2
Gene::51611,DPH5
Gene::79077,DCTPP1
Gene::4139,MARK1
Gene::58155,PTBP2
Gene::9529,BAG5
Gene::7993,UBXN8
Gene::8733,GPAA1
Gene::7466,WFS1
Gene::4363,ABCC1
Gene::2150,F2RL1
Gene::22937,SCAP
Gene::23333,DPY19L1
Gene::27346,TMEM97
Gene::55676,SLC30A6
Gene::202018,TAPT1
Gene::79956,ERMP1
Gene::79671,NLRX1
Gene::162427,RETREG3
Gene::84720,PIGO
Gene::55711,FAR2
Gene::51295,ECSIT
Gene::79053,ALG8
Gene::55116,TMEM39B
Gene::27069,GHITM
Gene::28976,ACAD9
Gene::54602,NDFIP2
Gene::617,BCS1L
Gene::51103,NDUFAF1
Gene::50999,TMED5
Gene::4715,NDUFB9
Gene::94005,PIGS
Gene::10247,RIDA
Gene::23322,RPGRIP1L
Gene::363,AQP6
Gene::6120,RPE
Gene::3858,KRT10
Gene::4733,DRG1
Gene::738,VPS51
Gene::10911,UTS2
Gene::9623,TCL1B
Gene::83891,SNX25
Gene::23666,UBBP4
Gene::84196,USP48
Gene::114789,SLC25A25
Gene::4514,COX3
Gene::113402,SFT2D1
Gene::7832,BTG2
Gene::9776,ATG13
Gene::25936,NSL1
Gene::23550,PSD4
Gene::23358,USP24
Gene::4597,MVD
Gene::57139,RGL3
Gene::146279,TEKT5
Gene::4973,OLR1
Gene::3443,IFNA6
Gene::79008,SLX1B
Gene::5504,PPP1R2
Gene::4855,NOTCH4
Gene::1174,AP1S1
Gene::11025,LILRB3
Gene::133522,PPARGC1B
Gene::219956,OR9Q1
Gene::9034,CCRL2
Gene::1793,DOCK1
Gene::3633,INPP5B
Gene::4485,MST1
Gene::5031,P2RY6
Gene::4925,NUCB2
Gene::64772,ENGASE
Gene::64769,MEAF6
Gene::1520,CTSS
Gene::196743,PAOX
Gene::5970,RELA
Gene::3965,LGALS9
Gene::23645,PPP1R15A
Gene::478,ATP1A3
Gene::3171,FOXA3
Gene::163933,FAM43B
Gene::5531,PPP4C
Gene::4802,NFYC
Gene::222487,ADGRG3
Gene::4330,MN1
Gene::84340,GFM2
Gene::642623,UBTFL1
Gene::2709,GJB5
Gene::79915,ATAD5
Gene::6926,TBX3
Gene::7109,TRAPPC10
Gene::23357,ANGEL1
Gene::2803,GOLGA4
Gene::4496,MT1H
Gene::3310,HSPA6
Gene::254427,PROSER2
Gene::582,BBS1
Gene::57805,CCAR2
Gene::91151,TIGD7
