gene_name,uniprot_id
AP3B1,O00203
BRD4,O60885
BRD2,P25440
CWC27,Q6UX04
ZC3H18,Q86VM9
SLC44A2,Q8IWA5
PMPCB,O75439
YIF1A,O95070
ATP1B1,Q14802
ACADM,P11310
ETFA,P13804
STOM,P27105
GGCX,O43852
ATP6V1A,P38606
PSMD8,P48556
REEP5,Q00765
PMPCA,Q10713
ANO6,Q4KMQ2
PITRM1,Q5JRX3
SLC30A9,Q6PML9
FASTKD5,Q7L8L6
SLC30A7,Q8NEW0
TUBGCP3,Q96CW5
COQ8B,Q96D53
SAAL1,Q96ER3
REEP6,Q96HR9
INTS4,Q96HW7
SLC25A21,Q9BQT8
TUBGCP2,Q9BSJ2
TARS2,Q16563
RTN4,Q9NQC3
FAM8A1,Q86TM6
AASS,Q9UDR5
AKAP8L,Q14129
AAR2,Q9Y312
BZW2,Q7L1Q6
RRP9,O43818
PABPC1,Q9BPZ3
CSNK2A2,P19784
CSNK2B,Q96B23
G3BP1,Q13283
PABPC4,Q8WV24
LARP1,Q6PKG0
FAM98A,Q8NCA5
SNIP1,Q9C0H9
UPF1,Q9HAU5
MOV10,Q9HCE1
G3BP2,Q9UN86
DDX21,Q9NR30
RBM28,Q9NW13
RPL36,Q9Y3U8
GOLGA7,Q7Z5G4
ZDHHC5,Q14254
POLA1,P49643
PRIM1,P49643
PRIM2,P49643
POLA2,Q14181
COLGALT1,Q5T4B2
PKP2,Q99959
AP2A2,O94973
GFER,P55789
ERGIC1,Q969X5
AP2M1,Q9Y6Q5
GRPEL1,Q9HAV7
TBCA,O75347
SBNO1,A3KN83
BCKDK,O14874
AKAP8,O43823
MYCBP2,O75592
SLU7,O95391
RIPK1,Q13546
UBAP2L,Q14157
TYSND1,Q2T9J0
PDZD11,Q86UF1
PRRC2B,Q5JSZ5
UBAP2,Q5T6F2
ZNF318,Q5VUA4
CRTC3,Q6UUV7
USP54,Q6PKX4
ZC3H7A,Q9UGR2
LARP4B,Q92615
