#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A4GALT	LFNG	9606.ENSP00000384794	9606.ENSP00000222725	0	0	0	0	0.049	0	0	0.396	0.401
ABCG8	MIA3	9606.ENSP00000272286	9606.ENSP00000340900	0	0	0	0	0	0.070	0	0.386	0.405
ABCG8	SLC27A4	9606.ENSP00000272286	9606.ENSP00000300456	0	0.001	0	0	0.109	0	0	0.374	0.418
ABCG8	NT5C2	9606.ENSP00000272286	9606.ENSP00000339479	0	0	0	0	0	0	0	0.426	0.426
ABCG8	MYLIP	9606.ENSP00000272286	9606.ENSP00000349298	0	0	0	0	0	0.071	0	0.606	0.618
ABHD12B	ABHD13	9606.ENSP00000336693	9606.ENSP00000365063	0	0	0.167	0.606	0.055	0	0	0.327	0.424
ABHD12B	C4orf51	9606.ENSP00000336693	9606.ENSP00000391404	0	0	0	0	0	0	0	0.475	0.475
ABHD13	ABHD17A	9606.ENSP00000365063	9606.ENSP00000250974	0	0	0.142	0.618	0.068	0	0	0.390	0.470
ABHD13	ABHD12B	9606.ENSP00000365063	9606.ENSP00000336693	0	0	0.167	0.606	0.055	0	0	0.327	0.424
ABHD17A	ZDHHC9	9606.ENSP00000250974	9606.ENSP00000349689	0	0	0	0	0	0	0	0.419	0.419
ABHD17A	ABHD13	9606.ENSP00000250974	9606.ENSP00000365063	0	0	0.142	0.618	0.068	0	0	0.390	0.470
ABHD17A	ZDHHC5	9606.ENSP00000250974	9606.ENSP00000287169	0	0	0	0	0.049	0	0	0.523	0.527
ABHD17A	HPGDS	9606.ENSP00000250974	9606.ENSP00000295256	0	0	0	0	0.059	0.622	0	0.043	0.629
ABRAXAS1	MLH1	9606.ENSP00000369857	9606.ENSP00000231790	0	0	0	0	0.056	0	0	0.479	0.487
ABRAXAS1	HERC2	9606.ENSP00000369857	9606.ENSP00000261609	0	0	0	0	0	0	0.500	0.156	0.559
ABRAXAS1	RPS27A	9606.ENSP00000369857	9606.ENSP00000272317	0	0	0	0	0.048	0	0.500	0	0.503
ABRAXAS1	STK11	9606.ENSP00000369857	9606.ENSP00000324856	0	0	0	0	0	0	0	0.400	0.400
ABRAXAS1	RAD50	9606.ENSP00000369857	9606.ENSP00000368100	0	0	0	0	0.066	0	0.500	0	0.513
ACKR2	TBX21	9606.ENSP00000416996	9606.ENSP00000177694	0	0	0	0	0	0	0	0.543	0.543
ACKR2	IL2RB	9606.ENSP00000416996	9606.ENSP00000216223	0	0	0	0	0	0	0	0.400	0.400
ACKR2	CCL21	9606.ENSP00000416996	9606.ENSP00000259607	0	0	0	0	0	0	0	0.992	0.992
ACKR2	CD80	9606.ENSP00000416996	9606.ENSP00000264246	0	0	0	0	0.047	0.098	0	0.505	0.537
ACKR2	KLRG1	9606.ENSP00000416996	9606.ENSP00000266551	0	0	0	0	0	0	0	0.435	0.435
ACKR2	CCR2	9606.ENSP00000416996	9606.ENSP00000292301	0	0	0	0.843	0	0	0	0.803	0.803
ACKR2	IL15	9606.ENSP00000416996	9606.ENSP00000296545	0	0	0	0	0.049	0	0	0.477	0.481
ACKR2	ICOS	9606.ENSP00000416996	9606.ENSP00000319476	0	0	0	0	0.042	0	0	0.482	0.483
ACKR2	CD86	9606.ENSP00000416996	9606.ENSP00000332049	0	0	0	0	0	0	0	0.507	0.507
ACKR2	CD2	9606.ENSP00000416996	9606.ENSP00000358490	0	0	0	0	0	0	0	0.561	0.561
ACKR2	CD44	9606.ENSP00000416996	9606.ENSP00000398632	0	0	0	0	0	0	0	0.479	0.479
ACSF2	ACSM2B	9606.ENSP00000401831	9606.ENSP00000327453	0.051	0	0.206	0.601	0.291	0	0.187	0.143	0.560
ACSF2	ACSM6	9606.ENSP00000401831	9606.ENSP00000340296	0.051	0	0.200	0.586	0.291	0	0.187	0.103	0.536
ACSF2	ACSM4	9606.ENSP00000401831	9606.ENSP00000382349	0.051	0	0.196	0.618	0.291	0	0.187	0.103	0.534
ACSF2	TSTD1	9606.ENSP00000401831	9606.ENSP00000388293	0	0	0	0	0.091	0.758	0	0.052	0.773
ACSM2B	ACSF2	9606.ENSP00000327453	9606.ENSP00000401831	0.051	0	0.206	0.601	0.291	0	0.187	0.143	0.560
ACSM4	ACSF2	9606.ENSP00000382349	9606.ENSP00000401831	0.051	0	0.196	0.618	0.291	0	0.187	0.103	0.534
ACSM6	ACSF2	9606.ENSP00000340296	9606.ENSP00000401831	0.051	0	0.200	0.586	0.291	0	0.187	0.103	0.536
ACVR2B	TDGF1	9606.ENSP00000340361	9606.ENSP00000296145	0	0	0	0	0.074	0.334	0.500	0.968	0.988
ACVR2B	GPRASP1	9606.ENSP00000340361	9606.ENSP00000498934	0	0	0	0	0.050	0.095	0	0.444	0.480
ACVR2B	TGFBR2	9606.ENSP00000340361	9606.ENSP00000351905	0	0	0	0.823	0	0.577	0	0.619	0.831
ACY3	NAT8L	9606.ENSP00000255082	9606.ENSP00000413064	0	0	0	0	0.063	0	0	0.457	0.469
ADAM17	TIMP1	9606.ENSP00000309968	9606.ENSP00000218388	0	0	0	0	0.049	0	0	0.723	0.725
ADAM17	TSPAN12	9606.ENSP00000309968	9606.ENSP00000222747	0	0	0	0	0	0.314	0	0.181	0.415
ADAM17	KLB	9606.ENSP00000309968	9606.ENSP00000257408	0	0	0	0	0	0	0	0.467	0.467
ADAM17	EGF	9606.ENSP00000309968	9606.ENSP00000265171	0	0	0	0	0.055	0	0.400	0.630	0.771
ADAM17	TRPV5	9606.ENSP00000309968	9606.ENSP00000265310	0	0	0	0	0	0	0	0.517	0.517
ADAM17	IDE	9606.ENSP00000309968	9606.ENSP00000265986	0	0	0	0	0.042	0	0	0.484	0.485
ADAM17	RPS27A	9606.ENSP00000309968	9606.ENSP00000272317	0	0	0	0	0	0	0.400	0	0.400
ADAM17	PLK2	9606.ENSP00000309968	9606.ENSP00000274289	0	0	0	0	0.042	0	0.750	0.132	0.774
ADAM17	MAML1	9606.ENSP00000309968	9606.ENSP00000292599	0	0	0	0	0	0	0	0.476	0.476
ADAM17	CD44	9606.ENSP00000309968	9606.ENSP00000398632	0	0	0	0	0.054	0	0	0.446	0.453
ADAM17	TLR4	9606.ENSP00000309968	9606.ENSP00000363089	0	0	0	0	0.081	0.054	0	0.434	0.465
ADAM17	PTGS2	9606.ENSP00000309968	9606.ENSP00000356438	0	0	0	0	0.076	0	0	0.505	0.523
ADAM17	CLTRN	9606.ENSP00000309968	9606.ENSP00000369699	0	0	0	0	0.067	0	0	0.561	0.573
ADAM17	AGTR1	9606.ENSP00000309968	9606.ENSP00000398832	0	0	0	0	0	0	0	0.582	0.582
ADAM17	IL6R	9606.ENSP00000309968	9606.ENSP00000357470	0	0	0	0	0.091	0	0	0.570	0.592
AGTR1	KISS1R	9606.ENSP00000398832	9606.ENSP00000234371	0	0	0	0.653	0	0	0.400	0.079	0.423
AGTR1	SLC3A1	9606.ENSP00000398832	9606.ENSP00000260649	0	0	0	0	0	0	0	0.605	0.605
AGTR1	RAB11A	9606.ENSP00000398832	9606.ENSP00000261890	0	0	0	0	0	0.045	0	0.514	0.516
AGTR1	NPFF	9606.ENSP00000398832	9606.ENSP00000267017	0	0	0	0	0	0	0.500	0.125	0.543
AGTR1	CCR2	9606.ENSP00000398832	9606.ENSP00000292301	0	0	0	0.771	0	0	0	0.474	0.474
AGTR1	ADAM17	9606.ENSP00000398832	9606.ENSP00000309968	0	0	0	0	0	0	0	0.582	0.582
AGTR1	CALML3	9606.ENSP00000398832	9606.ENSP00000315299	0	0	0	0	0	0	0	0.651	0.651
AGTR1	TRPC6	9606.ENSP00000398832	9606.ENSP00000340913	0	0	0	0	0.056	0.059	0	0.522	0.538
AGTR1	TGFBR2	9606.ENSP00000398832	9606.ENSP00000351905	0	0	0	0	0.044	0	0	0.490	0.491
AGTR1	PTGS2	9606.ENSP00000398832	9606.ENSP00000356438	0	0	0	0	0.042	0.292	0	0.422	0.574
AGTR1	CLTRN	9606.ENSP00000398832	9606.ENSP00000369699	0	0	0	0	0	0	0	0.429	0.429
AGTR1	GIT1	9606.ENSP00000398832	9606.ENSP00000378338	0	0	0	0	0	0	0	0.450	0.450
AHRR	LMBR1L	9606.ENSP00000323816	9606.ENSP00000267102	0	0	0	0	0	0	0	0.674	0.674
AMIGO2	PCP4	9606.ENSP00000266581	9606.ENSP00000329403	0	0	0	0	0	0	0	0.494	0.494
ANKH	COL4A4	9606.ENSP00000284268	9606.ENSP00000379866	0	0	0	0	0	0	0	0.409	0.409
APC	CDH23	9606.ENSP00000257430	9606.ENSP00000224721	0	0	0	0	0	0	0.540	0.074	0.555
APC	MLH1	9606.ENSP00000257430	9606.ENSP00000231790	0	0	0	0	0.049	0	0	0.435	0.439
APC	CSNK1D	9606.ENSP00000257430	9606.ENSP00000381531	0	0	0	0	0.046	0.426	0	0.132	0.483
APC	RPS27A	9606.ENSP00000257430	9606.ENSP00000272317	0	0	0	0	0	0	0.500	0.051	0.505
APC	PTGS2	9606.ENSP00000257430	9606.ENSP00000356438	0	0	0	0	0	0.260	0	0.370	0.513
APC	LGR5	9606.ENSP00000257430	9606.ENSP00000266674	0	0	0	0	0	0	0	0.540	0.540
APC	MEN1	9606.ENSP00000257430	9606.ENSP00000337088	0	0	0	0	0	0	0.500	0.137	0.550
APC	USP7	9606.ENSP00000257430	9606.ENSP00000343535	0	0	0	0	0	0.606	0	0.107	0.633
APC	TBL1Y	9606.ENSP00000257430	9606.ENSP00000372499	0	0	0	0	0	0.060	0.900	0.043	0.902
APOBEC3D	ZNF326	9606.ENSP00000216099	9606.ENSP00000340796	0	0	0	0	0	0.440	0	0	0.440
APOBEC3D	NDUFC2-KCTD14	9606.ENSP00000216099	9606.ENSP00000478766	0	0	0	0	0.295	0.241	0	0.073	0.460
ARFGAP1	NCLN	9606.ENSP00000314615	9606.ENSP00000246117	0	0	0	0	0.461	0	0	0	0.461
ARFGAP1	TMED2	9606.ENSP00000314615	9606.ENSP00000262225	0	0	0	0	0.042	0	0.500	0.069	0.515
ARFGAP1	MUS81	9606.ENSP00000314615	9606.ENSP00000307853	0	0	0	0	0.450	0	0	0	0.450
ARFGAP1	HECTD3	9606.ENSP00000314615	9606.ENSP00000361245	0	0	0	0	0.442	0	0	0.064	0.455
ARFGAP1	KIF26B	9606.ENSP00000314615	9606.ENSP00000385545	0	0	0	0	0	0	0.500	0	0.499
ARFGAP1	ARFGAP2	9606.ENSP00000314615	9606.ENSP00000434442	0	0	0	0.639	0.117	0.725	0.500	0.272	0.899
ARFGAP1	MOGS	9606.ENSP00000314615	9606.ENSP00000410992	0	0	0	0	0.634	0	0	0.895	0.960
ARFGAP2	ID2	9606.ENSP00000434442	9606.ENSP00000234091	0	0	0	0	0	0	0	0.426	0.426
ARFGAP2	TMED2	9606.ENSP00000434442	9606.ENSP00000262225	0	0	0	0	0.049	0.109	0.500	0.210	0.620
ARFGAP2	TATDN1	9606.ENSP00000434442	9606.ENSP00000276692	0	0	0	0	0.042	0.462	0	0	0.462
ARFGAP2	ARFGAP1	9606.ENSP00000434442	9606.ENSP00000314615	0	0	0	0.639	0.117	0.725	0.500	0.272	0.899
ARFGAP2	KIF26B	9606.ENSP00000434442	9606.ENSP00000385545	0	0	0	0	0	0	0.500	0	0.499
ARFGAP2	MOGS	9606.ENSP00000434442	9606.ENSP00000410992	0	0	0	0	0.050	0	0	0.434	0.440
ARMC1	DMTF1	9606.ENSP00000276569	9606.ENSP00000378193	0	0	0	0	0.058	0	0	0.433	0.443
ASMTL	PRKX	9606.ENSP00000370718	9606.ENSP00000262848	0	0	0	0	0.048	0	0	0.434	0.438
ATF7	UBE2B	9606.ENSP00000399465	9606.ENSP00000265339	0	0	0	0	0.086	0.068	0	0.609	0.637
AUP1	SPTLC1	9606.ENSP00000366748	9606.ENSP00000262554	0.046	0	0	0	0.129	0.317	0	0.149	0.453
AUP1	TMEM129	9606.ENSP00000366748	9606.ENSP00000372394	0	0	0	0	0.086	0	0	0.392	0.421
AUP1	RAD23A	9606.ENSP00000366748	9606.ENSP00000467024	0	0	0	0	0.441	0.066	0	0.120	0.500
AUP1	BET1L	9606.ENSP00000366748	9606.ENSP00000372210	0	0	0	0	0.076	0	0	0.490	0.509
AURKA	MAPK6	9606.ENSP00000216911	9606.ENSP00000261845	0	0	0.110	0.584	0.071	0.164	0	0.261	0.421
AURKA	PSMB10	9606.ENSP00000216911	9606.ENSP00000351314	0	0	0	0	0	0	0.400	0.075	0.421
AURKA	CSE1L	9606.ENSP00000216911	9606.ENSP00000262982	0	0	0	0	0.278	0	0	0.233	0.423
AURKA	USP7	9606.ENSP00000216911	9606.ENSP00000343535	0	0	0	0	0	0.292	0	0.222	0.425
AURKA	TFAP2A	9606.ENSP00000216911	9606.ENSP00000501092	0	0	0	0	0.090	0.292	0	0.183	0.428
AURKA	MYLIP	9606.ENSP00000216911	9606.ENSP00000349298	0	0	0	0	0.142	0.313	0	0.137	0.446
AURKA	CALML3	9606.ENSP00000216911	9606.ENSP00000315299	0	0	0	0	0	0.045	0	0.463	0.466
AURKA	KIT	9606.ENSP00000216911	9606.ENSP00000288135	0	0	0	0.572	0.055	0	0	0.461	0.468
AURKA	PLK2	9606.ENSP00000216911	9606.ENSP00000274289	0	0	0.096	0.739	0.244	0.212	0	0.212	0.519
AURKA	RPS27A	9606.ENSP00000216911	9606.ENSP00000272317	0	0	0	0	0.060	0	0.500	0.071	0.525
AURKA	SCUBE2	9606.ENSP00000216911	9606.ENSP00000310658	0	0	0	0	0	0.102	0	0.520	0.550
AURKA	NONO	9606.ENSP00000216911	9606.ENSP00000276079	0	0	0	0	0.097	0.497	0	0.119	0.565
AURKA	SMC2	9606.ENSP00000216911	9606.ENSP00000286398	0	0	0	0	0.516	0.224	0	0.273	0.704
AURKA	NEK2	9606.ENSP00000216911	9606.ENSP00000355966	0	0	0.123	0.684	0.641	0	0	0.501	0.829
AVL9	RAB11A	9606.ENSP00000315568	9606.ENSP00000261890	0	0	0	0	0.049	0	0	0.472	0.476
AVL9	TAFA4	9606.ENSP00000315568	9606.ENSP00000295569	0	0	0	0	0	0.420	0	0	0.420
B4GAT1	TMED2	9606.ENSP00000309096	9606.ENSP00000262225	0	0	0	0	0	0.422	0	0	0.422
BBX	SIN3B	9606.ENSP00000319974	9606.ENSP00000369131	0	0	0	0	0	0.162	0	0.472	0.538
BCL11B	TBX21	9606.ENSP00000349723	9606.ENSP00000177694	0	0	0	0	0.064	0.054	0	0.420	0.442
BCL11B	IL2RB	9606.ENSP00000349723	9606.ENSP00000216223	0	0	0	0	0.184	0	0	0.308	0.411
BCL11B	ID2	9606.ENSP00000349723	9606.ENSP00000234091	0	0	0	0	0.060	0.058	0	0.534	0.551
BCL11B	CD3D	9606.ENSP00000349723	9606.ENSP00000300692	0	0	0	0	0.346	0.100	0	0.323	0.567
BCL11B	MEF2C	9606.ENSP00000349723	9606.ENSP00000340874	0	0	0	0	0	0.078	0	0.382	0.406
BCL11B	CD2	9606.ENSP00000349723	9606.ENSP00000358490	0	0	0	0	0.277	0.071	0	0.199	0.415
BCL11B	EMX2	9606.ENSP00000349723	9606.ENSP00000450962	0	0	0	0	0.053	0.049	0	0.406	0.418
BCOR	CBX4	9606.ENSP00000367705	9606.ENSP00000269397	0	0	0	0	0.049	0.509	0.900	0.173	0.956
BCOR	USP7	9606.ENSP00000367705	9606.ENSP00000343535	0	0	0	0	0.056	0.758	0	0.122	0.782
BCOR	ZC3H7B	9606.ENSP00000367705	9606.ENSP00000345793	0	0	0	0	0.052	0.106	0	0.359	0.409
BET1L	SNAP29	9606.ENSP00000372210	9606.ENSP00000215730	0	0	0	0	0.067	0.091	0.540	0.275	0.679
BET1L	TMED2	9606.ENSP00000372210	9606.ENSP00000262225	0	0	0	0	0.100	0	0.500	0.122	0.570
BET1L	STXBP5L	9606.ENSP00000372210	9606.ENSP00000273666	0	0	0	0	0	0	0.540	0	0.540
BET1L	STX12	9606.ENSP00000372210	9606.ENSP00000363054	0	0	0	0	0.081	0.398	0.540	0.183	0.764
BET1L	AUP1	9606.ENSP00000372210	9606.ENSP00000366748	0	0	0	0	0.076	0	0	0.490	0.509
BIVM-ERCC5	MLH1	9606.ENSP00000491742	9606.ENSP00000231790	0	0	0	0	0.068	0.183	0	0.527	0.608
BIVM-ERCC5	RAP2A	9606.ENSP00000491742	9606.ENSP00000245304	0	0	0	0	0	0	0	0.450	0.450
BIVM-ERCC5	MUS81	9606.ENSP00000491742	9606.ENSP00000307853	0	0	0	0	0.086	0.512	0	0.437	0.727
BIVM-ERCC5	MLH3	9606.ENSP00000491742	9606.ENSP00000348020	0	0	0	0	0.057	0.183	0	0.435	0.527
BIVM-ERCC5	RAD50	9606.ENSP00000491742	9606.ENSP00000368100	0.050	0	0	0	0.109	0.262	0	0.175	0.415
BIVM-ERCC5	RAD23A	9606.ENSP00000491742	9606.ENSP00000467024	0	0	0	0	0.060	0.053	0	0.497	0.513
BRMS1L	E2F6	9606.ENSP00000216807	9606.ENSP00000370936	0	0	0	0	0.126	0	0	0.396	0.449
BRMS1L	SIN3B	9606.ENSP00000216807	9606.ENSP00000369131	0	0	0	0	0	0.593	0.540	0.743	0.947
BROX	NOP53	9606.ENSP00000343742	9606.ENSP00000246802	0	0	0	0	0.042	0	0	0.443	0.444
BROX	MIA3	9606.ENSP00000343742	9606.ENSP00000340900	0	0.246	0	0	0.049	0.051	0	0.360	0.506
BTG4	EIF4E	9606.ENSP00000348300	9606.ENSP00000425561	0	0	0	0	0.140	0.095	0	0.439	0.525
C15orf39	FAM219B	9606.ENSP00000353854	9606.ENSP00000350260	0	0	0	0	0	0	0	0.581	0.581
C19orf12	PANK1	9606.ENSP00000376103	9606.ENSP00000302108	0	0	0	0	0.049	0	0	0.410	0.414
C19orf81	CXorf58	9606.ENSP00000417035	9606.ENSP00000368511	0	0	0	0	0	0	0	0.771	0.771
C1QBP	LRPPRC	9606.ENSP00000225698	9606.ENSP00000260665	0	0	0	0	0.205	0.329	0	0.151	0.508
C1QBP	CD46	9606.ENSP00000225698	9606.ENSP00000313875	0	0	0	0	0.042	0	0	0.519	0.519
