#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAAS	MDM2	9606.ENSP00000209873	9606.ENSP00000258149	0	0	0	0	0	0	0.400	0	0.400
AAAS	DIAPH1	9606.ENSP00000209873	9606.ENSP00000373706	0	0	0	0	0.049	0	0.400	0	0.405
AAAS	SST	9606.ENSP00000209873	9606.ENSP00000287641	0	0	0	0	0	0	0	0.417	0.416
AAAS	NEK9	9606.ENSP00000209873	9606.ENSP00000238616	0	0	0	0	0.069	0	0.400	0	0.418
AAAS	GEMIN7	9606.ENSP00000209873	9606.ENSP00000270257	0	0	0	0	0.075	0	0.400	0	0.421
AAAS	LAS1L	9606.ENSP00000209873	9606.ENSP00000363944	0	0	0	0	0.437	0	0	0.074	0.456
AAAS	UBE2I	9606.ENSP00000209873	9606.ENSP00000348056	0	0	0	0	0.056	0.445	0.500	0	0.715
AAAS	NUP42	9606.ENSP00000209873	9606.ENSP00000258742	0	0	0	0	0.061	0.220	0.800	0.657	0.943
AAAS	NUP107	9606.ENSP00000209873	9606.ENSP00000229179	0	0	0	0	0.374	0.879	0.500	0.549	0.980
AAAS	NUP43	9606.ENSP00000209873	9606.ENSP00000342262	0	0	0	0	0.149	0.800	0.800	0.501	0.980
AAAS	NUP205	9606.ENSP00000209873	9606.ENSP00000285968	0	0	0	0	0.100	0.842	0.800	0.578	0.986
AAAS	NDC1	9606.ENSP00000209873	9606.ENSP00000360483	0	0	0	0	0.133	0.937	0.800	0.520	0.994
AAMDC	LSM12	9606.ENSP00000307254	9606.ENSP00000466718	0	0	0	0	0.055	0.214	0	0.316	0.447
AATF	TARBP1	9606.ENSP00000477848	9606.ENSP00000040877	0	0	0.229	0	0.192	0	0	0.122	0.405
AATF	UTP18	9606.ENSP00000477848	9606.ENSP00000225298	0	0	0	0	0.654	0.991	0	0.436	0.998
AATF	DDX5	9606.ENSP00000477848	9606.ENSP00000225792	0	0	0	0	0.400	0.098	0	0.064	0.449
AATF	DDX55	9606.ENSP00000477848	9606.ENSP00000238146	0	0	0	0	0.706	0.098	0	0.064	0.730
AATF	MPHOSPH10	9606.ENSP00000477848	9606.ENSP00000244230	0	0	0	0	0.611	0.994	0	0.176	0.997
AATF	NOP53	9606.ENSP00000477848	9606.ENSP00000246802	0	0	0	0	0.689	0	0	0.076	0.700
AATF	MDM2	9606.ENSP00000477848	9606.ENSP00000258149	0	0	0	0	0	0.510	0	0.449	0.718
AATF	WDR12	9606.ENSP00000477848	9606.ENSP00000261015	0	0	0	0	0.823	0	0	0.075	0.829
