#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	CDH23	9606.ENSP00000359245	9606.ENSP00000224721	0	0	0	0	0	0.057	0	0.406	0.416
ABCA4	ADTRP	9606.ENSP00000359245	9606.ENSP00000229583	0	0	0	0	0.047	0	0	0.444	0.447
ABCA4	TULP1	9606.ENSP00000359245	9606.ENSP00000229771	0	0	0	0	0.071	0	0	0.806	0.812
ABCA4	CNGB1	9606.ENSP00000359245	9606.ENSP00000251102	0	0	0	0	0.049	0.306	0	0.795	0.853
ABCA4	ROM1	9606.ENSP00000359245	9606.ENSP00000278833	0	0	0	0	0.107	0	0	0.667	0.690
ABCA4	TBX10	9606.ENSP00000359245	9606.ENSP00000335191	0	0	0	0	0.052	0.045	0	0.491	0.499
ABCA4	CERKL	9606.ENSP00000359245	9606.ENSP00000341159	0	0	0	0	0.061	0	0	0.818	0.822
ABCA4	TAP1	9606.ENSP00000359245	9606.ENSP00000346206	0	0	0	0.554	0.057	0.100	0	0.379	0.427
ABCA4	PRCD	9606.ENSP00000359245	9606.ENSP00000467661	0	0	0	0	0	0	0	0.715	0.715
ABCA4	RAX2	9606.ENSP00000359245	9606.ENSP00000450456	0	0	0	0	0	0.045	0	0.768	0.768
ABCA7	ABCC9	9606.ENSP00000263094	9606.ENSP00000261200	0	0	0	0	0.057	0.100	0	0.355	0.405
ABCA7	PILRB	9606.ENSP00000263094	9606.ENSP00000391748	0	0	0	0	0.139	0	0	0.418	0.477
ABCA7	CR1L	9606.ENSP00000263094	9606.ENSP00000421736	0	0	0	0	0.056	0.045	0	0.625	0.633
ABCB10	STEAP3	9606.ENSP00000355637	9606.ENSP00000376822	0	0	0	0	0.065	0	0	0.552	0.563
ABCB4	SMARCD3	9606.ENSP00000265723	9606.ENSP00000262188	0	0	0	0	0.051	0	0.400	0.044	0.408
ABCB4	NCOA2	9606.ENSP00000265723	9606.ENSP00000399968	0	0	0	0	0	0	0.400	0.069	0.417
ABCB4	FGF19	9606.ENSP00000265723	9606.ENSP00000294312	0	0	0	0	0.107	0	0	0.415	0.455
ABCC9	ABCA7	9606.ENSP00000261200	9606.ENSP00000263094	0	0	0	0	0.057	0.100	0	0.355	0.405
ABHD8	RNF125	9606.ENSP00000247706	9606.ENSP00000217740	0	0	0	0	0.074	0	0	0.381	0.403
ABITRAM	C8A	9606.ENSP00000363753	9606.ENSP00000354458	0	0	0	0	0.055	0	0	0.445	0.453
ACMSD	CCDC62	9606.ENSP00000348459	9606.ENSP00000253079	0	0	0	0	0.042	0	0	0.776	0.776
ACOD1	DMGDH	9606.ENSP00000366682	9606.ENSP00000255189	0.061	0	0	0	0.117	0.361	0.301	0.166	0.634
ACOD1	NFKBIZ	9606.ENSP00000366682	9606.ENSP00000325663	0	0	0	0	0.056	0.045	0	0.452	0.463
ACOD1	IRAK1	9606.ENSP00000366682	9606.ENSP00000358997	0	0	0	0	0.049	0.046	0	0.419	0.426
ACP5	OSTM1	9606.ENSP00000218758	9606.ENSP00000193322	0	0	0	0	0.102	0	0	0.462	0.496
ACP5	PTPRC	9606.ENSP00000218758	9606.ENSP00000411355	0	0	0	0	0.117	0	0	0.396	0.444
ACP5	BMP2	9606.ENSP00000218758	9606.ENSP00000368104	0	0	0	0	0	0	0	0.607	0.607
ADIPOR1	TIMP1	9606.ENSP00000341785	9606.ENSP00000218388	0	0	0	0	0.048	0	0	0.439	0.443
ADIPOR1	APPL1	9606.ENSP00000341785	9606.ENSP00000288266	0	0	0	0	0	0.477	0.900	0.996	0.999
ADIPOR1	AGRP	9606.ENSP00000341785	9606.ENSP00000290953	0	0	0	0	0	0	0	0.411	0.411
ADIPOR1	CCRL2	9606.ENSP00000341785	9606.ENSP00000349967	0	0	0	0	0	0	0	0.455	0.455
ADTRP	CRHR1	9606.ENSP00000229583	9606.ENSP00000381333	0	0	0	0	0	0	0	0.406	0.406
ADTRP	ABCA4	9606.ENSP00000229583	9606.ENSP00000359245	0	0	0	0	0.047	0	0	0.444	0.447
ADTRP	TBX10	9606.ENSP00000229583	9606.ENSP00000335191	0	0	0	0	0	0	0	0.493	0.493
AGRP	KISS1R	9606.ENSP00000290953	9606.ENSP00000234371	0	0	0	0	0	0	0	0.412	0.412
AGRP	ADIPOR1	9606.ENSP00000290953	9606.ENSP00000341785	0	0	0	0	0	0	0	0.411	0.411
AHSA1	PPP5C	9606.ENSP00000216479	9606.ENSP00000012443	0	0	0	0	0.111	0.263	0	0.487	0.635
AHSA1	BRD4	9606.ENSP00000216479	9606.ENSP00000263377	0	0	0	0	0.054	0.510	0	0	0.516
AHSA1	TTC3	9606.ENSP00000216479	9606.ENSP00000381981	0	0	0	0	0.537	0.071	0	0.115	0.586
AHSA1	CCT7	9606.ENSP00000216479	9606.ENSP00000258091	0	0	0	0	0.583	0.083	0	0.210	0.672
AHSA1	TSC1	9606.ENSP00000216479	9606.ENSP00000298552	0	0	0	0	0.336	0.641	0	0.278	0.812
AHSA1	HSPE1	9606.ENSP00000216479	9606.ENSP00000233893	0	0	0	0	0.724	0.189	0	0.306	0.831
AHSA1	TRAP1	9606.ENSP00000216479	9606.ENSP00000246957	0	0	0	0	0.374	0.641	0	0.496	0.877
ALKBH5	ZCCHC4	9606.ENSP00000382091	9606.ENSP00000303468	0	0	0	0	0.069	0	0	0.626	0.637
ANKUB1	C8orf34	9606.ENSP00000417635	9606.ENSP00000427820	0	0	0	0	0.082	0	0	0.419	0.443
APPL1	CBL	9606.ENSP00000288266	9606.ENSP00000264033	0	0	0	0	0.053	0.421	0	0.148	0.492
APPL1	ARL14EP	9606.ENSP00000288266	9606.ENSP00000282032	0	0	0	0	0.098	0.452	0	0	0.484
APPL1	HNF1A	9606.ENSP00000288266	9606.ENSP00000438804	0	0	0	0	0	0	0	0.417	0.416
APPL1	TRAPPC2	9606.ENSP00000288266	9606.ENSP00000392495	0	0	0	0	0.049	0.421	0	0	0.425
APPL1	PAX4	9606.ENSP00000288266	9606.ENSP00000368014	0	0	0	0	0.055	0	0	0.479	0.486
APPL1	UNC5B	9606.ENSP00000288266	9606.ENSP00000334329	0	0	0	0	0	0	0.500	0.105	0.533
APPL1	ADIPOR1	9606.ENSP00000288266	9606.ENSP00000341785	0	0	0	0	0	0.477	0.900	0.996	0.999
ARL14EP	APPL1	9606.ENSP00000282032	9606.ENSP00000288266	0	0	0	0	0.098	0.452	0	0	0.484
ARL4C	XRCC2	9606.ENSP00000339754	9606.ENSP00000352271	0	0	0	0	0	0.624	0	0.150	0.666
ASTN2	WDPCP	9606.ENSP00000354504	9606.ENSP00000272321	0	0	0	0	0.784	0	0	0.198	0.819
ASTN2	SEMA5A	9606.ENSP00000354504	9606.ENSP00000371936	0	0	0	0	0	0	0	0.609	0.609
ASTN2	FAM228B	9606.ENSP00000354504	9606.ENSP00000482482	0	0	0	0	0.764	0	0	0	0.764
ASXL3	BRD4	9606.ENSP00000269197	9606.ENSP00000263377	0	0	0	0	0.049	0.522	0	0.540	0.773
ASXL3	CBX8	9606.ENSP00000269197	9606.ENSP00000269385	0	0	0	0	0	0.065	0.540	0.048	0.554
ATG4C	ATG9A	9606.ENSP00000322159	9606.ENSP00000386710	0	0	0	0	0.133	0	0	0.664	0.696
ATG9A	ATG4C	9606.ENSP00000386710	9606.ENSP00000322159	0	0	0	0	0.133	0	0	0.664	0.696
ATG9A	TBK1	9606.ENSP00000386710	9606.ENSP00000329967	0	0	0	0	0.064	0.188	0	0.641	0.704
ATG9A	NAIF1	9606.ENSP00000386710	9606.ENSP00000362170	0	0	0	0	0.049	0	0	0.446	0.451
ATG9A	LGALS9	9606.ENSP00000386710	9606.ENSP00000378856	0	0	0	0	0.044	0.502	0	0	0.503
ATG9A	SUPT20H	9606.ENSP00000386710	9606.ENSP00000417510	0	0	0	0	0.056	0.345	0	0.948	0.965
BACH2	IL9R	9606.ENSP00000257749	9606.ENSP00000244174	0	0	0	0	0	0	0	0.478	0.478
BACH2	IL21R	9606.ENSP00000257749	9606.ENSP00000338010	0	0	0	0	0.074	0	0	0.476	0.494
BACH2	IRF8	9606.ENSP00000257749	9606.ENSP00000268638	0	0	0	0	0.060	0	0	0.510	0.519
BACH2	PRKCQ	9606.ENSP00000257749	9606.ENSP00000263125	0	0	0	0	0.064	0	0	0.508	0.520
BACH2	CCRL2	9606.ENSP00000257749	9606.ENSP00000349967	0	0	0	0	0.070	0	0	0.555	0.568
BACH2	MAFG	9606.ENSP00000257749	9606.ENSP00000350369	0	0	0	0	0.055	0.683	0	0.943	0.981
BMP2	OSM	9606.ENSP00000368104	9606.ENSP00000215781	0	0	0	0	0.042	0	0	0.415	0.415
BMP2	ACP5	9606.ENSP00000368104	9606.ENSP00000218758	0	0	0	0	0	0	0	0.607	0.607
BMP2	ISL1	9606.ENSP00000368104	9606.ENSP00000230658	0	0	0	0	0.072	0.071	0	0.532	0.561
BMP2	EDAR	9606.ENSP00000368104	9606.ENSP00000258443	0	0	0	0	0	0	0	0.464	0.464
BMP2	POU5F1	9606.ENSP00000368104	9606.ENSP00000259915	0	0	0	0	0.064	0.043	0	0.464	0.478
BMP2	LGR5	9606.ENSP00000368104	9606.ENSP00000266674	0	0	0	0	0.067	0	0	0.530	0.543
BMP2	SOSTDC1	9606.ENSP00000368104	9606.ENSP00000304930	0	0	0	0	0.074	0.292	0	0.507	0.648
BMP2	BMPR1A	9606.ENSP00000368104	9606.ENSP00000361107	0	0	0	0	0.053	0.995	0.900	0.998	0.999
BMP2	PTPRC	9606.ENSP00000368104	9606.ENSP00000411355	0	0	0	0	0.053	0.045	0	0.446	0.455
BMP2	HIVEP1	9606.ENSP00000368104	9606.ENSP00000368698	0	0	0	0	0.048	0.103	0	0.438	0.479
BMPR1A	LGR5	9606.ENSP00000361107	9606.ENSP00000266674	0	0	0	0	0.055	0.100	0	0.362	0.411
BMPR1A	BMP2	9606.ENSP00000361107	9606.ENSP00000368104	0	0	0	0	0.053	0.995	0.900	0.998	0.999
BPTF	POU5F1	9606.ENSP00000307208	9606.ENSP00000259915	0	0	0	0	0.044	0.300	0	0.198	0.416
BPTF	BRD4	9606.ENSP00000307208	9606.ENSP00000263377	0	0	0	0.550	0.171	0.292	0	0.503	0.683
BPTF	TAF3	9606.ENSP00000307208	9606.ENSP00000340271	0	0	0	0.550	0.129	0	0	0.475	0.524
BRD4	AHSA1	9606.ENSP00000263377	9606.ENSP00000216479	0	0	0	0	0.054	0.510	0	0	0.516
BRD4	POU5F1	9606.ENSP00000263377	9606.ENSP00000259915	0	0	0	0	0	0.092	0	0.617	0.637
BRD4	WNK1	9606.ENSP00000263377	9606.ENSP00000341292	0	0	0	0	0.387	0	0	0.076	0.409
BRD4	CDV3	9606.ENSP00000263377	9606.ENSP00000264993	0	0	0	0	0.103	0	0	0.375	0.415
BRD4	TAF3	9606.ENSP00000263377	9606.ENSP00000340271	0	0	0	0	0.117	0.292	0	0.199	0.455
BRD4	CBX8	9606.ENSP00000263377	9606.ENSP00000269385	0	0	0	0	0.052	0.345	0	0.224	0.476
BRD4	HMGN3	9606.ENSP00000263377	9606.ENSP00000482613	0	0	0	0	0	0.510	0	0	0.510
BRD4	CHTOP	9606.ENSP00000263377	9606.ENSP00000357679	0	0	0	0	0.055	0.510	0	0	0.517
BRD4	DNAJC9	9606.ENSP00000263377	9606.ENSP00000362041	0	0	0	0	0.067	0.510	0	0	0.523
BRD4	PQBP1	9606.ENSP00000263377	9606.ENSP00000498362	0	0	0	0	0.075	0.510	0	0	0.527
BRD4	RBM14	9606.ENSP00000263377	9606.ENSP00000311747	0	0	0	0	0.055	0.510	0	0.091	0.542
BRD4	BPTF	9606.ENSP00000263377	9606.ENSP00000307208	0	0	0	0.550	0.171	0.292	0	0.503	0.683
BRD4	ASXL3	9606.ENSP00000263377	9606.ENSP00000269197	0	0	0	0	0.049	0.522	0	0.540	0.773
BRD4	DEFB1	9606.ENSP00000263377	9606.ENSP00000297439	0	0	0	0	0	0	0	0.984	0.984
BSG	TIMP1	9606.ENSP00000333769	9606.ENSP00000218388	0	0	0	0	0.075	0.045	0	0.447	0.469
BSG	CD320	9606.ENSP00000333769	9606.ENSP00000301458	0	0	0	0	0.070	0	0	0.418	0.435
BSG	CD47	9606.ENSP00000333769	9606.ENSP00000355361	0	0	0	0	0.042	0.096	0	0.397	0.432
BSG	ERVFRD-1	9606.ENSP00000333769	9606.ENSP00000420174	0	0	0	0	0	0.061	0	0.425	0.437
BSG	CD24	9606.ENSP00000333769	9606.ENSP00000481841	0	0	0	0	0.042	0	0	0.466	0.466
BSG	MAG	9606.ENSP00000333769	9606.ENSP00000376048	0	0	0	0	0	0.126	0.500	0.042	0.544
C10orf62	SLC12A9	9606.ENSP00000359674	9606.ENSP00000275730	0	0	0	0	0	0	0	0.449	0.449
C11orf42	SPESP1	9606.ENSP00000321021	9606.ENSP00000312284	0	0	0	0	0	0	0	0.447	0.447
C16orf96	DNHD1	9606.ENSP00000415027	9606.ENSP00000254579	0	0	0.410	0	0.044	0.055	0	0.051	0.426
C19orf18	C8orf34	9606.ENSP00000321519	9606.ENSP00000427820	0	0	0	0	0	0	0	0.447	0.447
C1GALT1C1	ST6GALNAC2	9606.ENSP00000304364	9606.ENSP00000225276	0	0	0	0	0	0	0	0.719	0.719
C1GALT1C1	MUC3A	9606.ENSP00000304364	9606.ENSP00000368771	0	0	0	0	0	0	0.400	0.147	0.466
C1GALT1C1	MUC4	9606.ENSP00000304364	9606.ENSP00000417498	0	0	0	0	0	0.073	0.400	0.270	0.558
C1orf159	DNHD1	9606.ENSP00000368644	9606.ENSP00000254579	0	0	0	0	0.056	0	0	0.533	0.540
C1orf167	C22orf42	9606.ENSP00000414909	9606.ENSP00000371529	0	0	0	0	0.042	0	0	0.507	0.507
C1orf185	SPTY2D1OS	9606.ENSP00000360824	9606.ENSP00000489616	0	0	0	0	0.104	0	0	0.445	0.481
C22orf42	FAM131C	9606.ENSP00000371529	9606.ENSP00000364814	0	0	0	0	0	0	0	0.480	0.480
C22orf42	C1orf167	9606.ENSP00000371529	9606.ENSP00000414909	0	0	0	0	0.042	0	0	0.507	0.507
C4orf36	PGPEP1	9606.ENSP00000295898	9606.ENSP00000269919	0	0	0	0	0	0	0	0.444	0.444
C8A	ABITRAM	9606.ENSP00000354458	9606.ENSP00000363753	0	0	0	0	0.055	0	0	0.445	0.453
C8A	MBL2	9606.ENSP00000354458	9606.ENSP00000363079	0	0	0	0	0.448	0	0	0.270	0.580
C8orf34	C19orf18	9606.ENSP00000427820	9606.ENSP00000321519	0	0	0	0	0	0	0	0.447	0.447
C8orf34	ANKUB1	9606.ENSP00000427820	9606.ENSP00000417635	0	0	0	0	0.082	0	0	0.419	0.443
C9orf152	PRR15L	9606.ENSP00000383456	9606.ENSP00000300557	0	0	0	0	0.324	0	0	0.414	0.587
