#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD12B	ABHD18	9606.ENSP00000336693	9606.ENSP00000496010	0	0	0	0	0	0	0	0.465	0.465
ABHD18	ABHD12B	9606.ENSP00000496010	9606.ENSP00000336693	0	0	0	0	0	0	0	0.465	0.465
ABL1	CD22	9606.ENSP00000361423	9606.ENSP00000085219	0	0	0	0	0	0.102	0	0.543	0.572
ABL1	CD79A	9606.ENSP00000361423	9606.ENSP00000221972	0	0	0	0	0	0	0	0.431	0.431
ABL1	CDKN1B	9606.ENSP00000361423	9606.ENSP00000228872	0	0	0	0	0.086	0.296	0.400	0.420	0.746
ABL1	IL4	9606.ENSP00000361423	9606.ENSP00000231449	0	0	0	0	0	0	0	0.553	0.553
ABL1	CRBN	9606.ENSP00000361423	9606.ENSP00000231948	0	0	0	0	0	0	0	0.419	0.418
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	EPO	9606.ENSP00000361423	9606.ENSP00000252723	0	0	0	0	0.061	0.046	0	0.484	0.497
ABL1	CABLES1	9606.ENSP00000361423	9606.ENSP00000256925	0	0	0	0	0.075	0	0.500	0.265	0.630
ABL1	EPHA1	9606.ENSP00000361423	9606.ENSP00000275815	0	0	0	0.614	0.101	0	0.900	0.441	0.945
ABL1	CSF1R	9606.ENSP00000361423	9606.ENSP00000286301	0	0	0	0.604	0.055	0.074	0	0.504	0.528
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.083	0.737	0.900	0.869	0.996
ABL1	RAC3	9606.ENSP00000361423	9606.ENSP00000304283	0	0	0	0	0.116	0.110	0.900	0.093	0.919
ABL1	FRYL	9606.ENSP00000361423	9606.ENSP00000351113	0	0	0	0	0.049	0	0	0.403	0.407
ABL1	RAD52	9606.ENSP00000361423	9606.ENSP00000351284	0	0	0	0	0.042	0.050	0.750	0.311	0.822
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	GATA1	9606.ENSP00000361423	9606.ENSP00000365858	0	0	0	0	0.055	0.093	0	0.445	0.483
ABL1	HIF1A	9606.ENSP00000361423	9606.ENSP00000437955	0	0	0	0	0	0.071	0	0.484	0.500
ABL1	CRLF2	9606.ENSP00000361423	9606.ENSP00000370978	0	0	0	0	0	0.071	0	0.660	0.670
ABL1	KITLG	9606.ENSP00000361423	9606.ENSP00000495951	0	0	0	0	0	0	0	0.702	0.702
ABL1	ETV6	9606.ENSP00000361423	9606.ENSP00000379658	0	0	0	0	0.044	0.074	0	0.930	0.932
ADAM22	UNC5D	9606.ENSP00000265727	9606.ENSP00000385143	0	0	0	0	0.080	0	0	0.379	0.405
ADGRL1	GP9	9606.ENSP00000340688	9606.ENSP00000303942	0	0	0	0	0	0.542	0	0	0.542
ADGRL1	BAALC	9606.ENSP00000340688	9606.ENSP00000312457	0	0	0	0	0.050	0.469	0	0.049	0.478
ADGRL1	FLRT2	9606.ENSP00000340688	9606.ENSP00000332879	0	0	0	0	0	0.531	0	0.547	0.778
ADGRL1	FLRT3	9606.ENSP00000340688	9606.ENSP00000339912	0	0	0	0	0	0.514	0	0.733	0.864
ADGRL1	ARMCX5-GPRASP2	9606.ENSP00000340688	9606.ENSP00000498643	0	0	0	0	0	0	0	0.495	0.495
ADGRL1	LRRC8C	9606.ENSP00000340688	9606.ENSP00000359483	0	0	0	0	0	0.514	0	0	0.514
ADGRL1	UNC5D	9606.ENSP00000340688	9606.ENSP00000385143	0	0	0	0	0.097	0.967	0	0.176	0.973
AFM	APOB	9606.ENSP00000226355	9606.ENSP00000233242	0	0	0	0	0.195	0	0	0.316	0.427
AFM	CLU	9606.ENSP00000226355	9606.ENSP00000315130	0	0	0	0	0	0	0	0.433	0.433
AIF1L	CASK	9606.ENSP00000361383	9606.ENSP00000494788	0	0	0	0	0	0.415	0	0.081	0.439
APLNR	CCL19	9606.ENSP00000475344	9606.ENSP00000308815	0	0	0	0	0.110	0	0	0.426	0.467
APLNR	KITLG	9606.ENSP00000475344	9606.ENSP00000495951	0	0	0	0	0	0	0	0.455	0.455
APOB	TIMP1	9606.ENSP00000233242	9606.ENSP00000218388	0	0	0	0	0	0	0	0.419	0.418
APOB	AFM	9606.ENSP00000233242	9606.ENSP00000226355	0	0	0	0	0.195	0	0	0.316	0.427
APOB	RBP1	9606.ENSP00000233242	9606.ENSP00000232219	0	0	0	0	0.063	0	0.500	0.133	0.558
APOB	LEPR	9606.ENSP00000233242	9606.ENSP00000330393	0	0	0	0	0.044	0	0	0.398	0.400
APOB	CCL4	9606.ENSP00000233242	9606.ENSP00000482259	0	0	0	0	0	0	0	0.409	0.408
APOB	IL6ST	9606.ENSP00000233242	9606.ENSP00000370698	0	0	0	0	0	0	0	0.427	0.426
APOB	PSRC1	9606.ENSP00000233242	9606.ENSP00000358925	0	0	0	0	0.081	0	0	0.479	0.500
APOB	SAA2-SAA4	9606.ENSP00000233242	9606.ENSP00000485552	0	0	0	0	0.055	0	0.540	0.267	0.654
APOB	CLU	9606.ENSP00000233242	9606.ENSP00000315130	0	0	0	0	0.042	0	0.720	0.540	0.865
ARMCX5-GPRASP2	ADGRL1	9606.ENSP00000498643	9606.ENSP00000340688	0	0	0	0	0	0	0	0.495	0.495
ASTL	TIMP1	9606.ENSP00000343674	9606.ENSP00000218388	0	0	0	0	0.085	0	0	0.716	0.729
ASXL2	FLT3	9606.ENSP00000383920	9606.ENSP00000241453	0	0	0	0	0	0	0	0.435	0.435
ASXL2	FOXK2	9606.ENSP00000383920	9606.ENSP00000335677	0	0	0	0	0.082	0.722	0.500	0.785	0.968
AXL	IL4	9606.ENSP00000301178	9606.ENSP00000231449	0	0	0	0	0.055	0	0	0.415	0.424
AXL	NRP1	9606.ENSP00000301178	9606.ENSP00000265371	0	0	0	0	0.218	0	0	0.371	0.487
AXL	IFNAR1	9606.ENSP00000301178	9606.ENSP00000270139	0	0	0	0	0	0.095	0	0.921	0.925
AXL	CLEC7A	9606.ENSP00000301178	9606.ENSP00000302569	0	0	0	0	0	0.045	0	0.400	0.402
AXL	CD86	9606.ENSP00000301178	9606.ENSP00000332049	0	0	0	0	0.092	0	0	0.401	0.434
AXL	HIF1A	9606.ENSP00000301178	9606.ENSP00000437955	0	0	0	0	0.067	0.071	0	0.452	0.484
AXL	BSG	9606.ENSP00000301178	9606.ENSP00000333769	0	0	0	0	0.042	0.081	0	0.470	0.492
AXL	KITLG	9606.ENSP00000301178	9606.ENSP00000495951	0	0	0	0	0.066	0	0	0.496	0.509
AXL	NGF	9606.ENSP00000301178	9606.ENSP00000358525	0	0	0	0	0.107	0	0	0.492	0.526
BAALC	FLT3	9606.ENSP00000312457	9606.ENSP00000241453	0	0	0	0	0.072	0	0	0.662	0.673
BAALC	ADGRL1	9606.ENSP00000312457	9606.ENSP00000340688	0	0	0	0	0.050	0.469	0	0.049	0.478
BAALC	ZNF236	9606.ENSP00000312457	9606.ENSP00000322361	0	0	0	0	0	0	0	0.565	0.565
BAX	BIK	9606.ENSP00000293288	9606.ENSP00000216115	0	0	0	0	0.047	0	0.540	0.471	0.747
BAX	HIF1A	9606.ENSP00000293288	9606.ENSP00000437955	0	0	0	0	0	0	0	0.447	0.447
BAX	PARP1	9606.ENSP00000293288	9606.ENSP00000355759	0	0	0	0	0.042	0	0	0.559	0.560
BAX	DNM1L	9606.ENSP00000293288	9606.ENSP00000449089	0	0	0	0	0.055	0.118	0	0.642	0.676
BAX	CLU	9606.ENSP00000293288	9606.ENSP00000315130	0	0	0	0	0.042	0.785	0	0.491	0.886
BCL7A	PRDM1	9606.ENSP00000445868	9606.ENSP00000358092	0	0	0	0	0	0	0	0.492	0.491
BCR	FGF20	9606.ENSP00000303507	9606.ENSP00000180166	0	0	0	0	0	0	0.400	0	0.400
BCR	FLT3	9606.ENSP00000303507	9606.ENSP00000241453	0	0	0	0	0	0	0	0.418	0.418
BCR	SP110	9606.ENSP00000303507	9606.ENSP00000258381	0	0	0	0	0.054	0.421	0	0	0.428
BCR	SEPTIN6	9606.ENSP00000303507	9606.ENSP00000341524	0	0	0	0	0.049	0	0	0.423	0.427
BCR	PKN2	9606.ENSP00000303507	9606.ENSP00000359552	0	0	0	0	0.042	0.055	0.400	0.101	0.446
BCR	PKN1	9606.ENSP00000303507	9606.ENSP00000343325	0	0	0	0	0.070	0.055	0.400	0.101	0.462
BCR	IGLL1	9606.ENSP00000303507	9606.ENSP00000329312	0	0	0	0	0.055	0	0	0.504	0.511
BCR	RAC3	9606.ENSP00000303507	9606.ENSP00000304283	0	0	0	0	0.080	0.136	0.400	0.114	0.521
BCR	ABL1	9606.ENSP00000303507	9606.ENSP00000361423	0	0	0	0	0.083	0.737	0.900	0.869	0.996
BIK	DNM1L	9606.ENSP00000216115	9606.ENSP00000449089	0	0	0	0	0	0	0	0.600	0.600
BIK	BAX	9606.ENSP00000216115	9606.ENSP00000293288	0	0	0	0	0.047	0	0.540	0.471	0.747
BIVM-ERCC5	FANCD2	9606.ENSP00000491742	9606.ENSP00000287647	0	0	0	0	0.110	0	0	0.476	0.513
BIVM-ERCC5	RAD52	9606.ENSP00000491742	9606.ENSP00000351284	0	0	0	0	0.087	0.256	0	0.560	0.675
BIVM-ERCC5	PARP1	9606.ENSP00000491742	9606.ENSP00000355759	0	0	0	0	0	0	0	0.564	0.564
BMP3	FGF20	9606.ENSP00000282701	9606.ENSP00000180166	0	0	0	0	0.053	0	0	0.493	0.500
BMP3	SFRP2	9606.ENSP00000282701	9606.ENSP00000274063	0	0	0	0	0.089	0	0	0.518	0.542
BOLA2B	C11orf98	9606.ENSP00000306752	9606.ENSP00000432523	0	0	0	0	0.447	0	0	0	0.447
BPY2C	CDY1B	9606.ENSP00000371724	9606.ENSP00000303178	0	0	0	0	0	0	0	0.810	0.810
BPY2C	PRKY	9606.ENSP00000371724	9606.ENSP00000498737	0	0	0	0	0	0	0	0.477	0.477
BPY2C	RPS4Y2	9606.ENSP00000371724	9606.ENSP00000486252	0	0	0	0	0	0	0	0.542	0.542
