#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AASDHPPT	PALB2	9606.ENSP00000278618	9606.ENSP00000261584	0.120	0	0	0	0.119	0.099	0	0.349	0.484
AASDHPPT	TRAPPC13	9606.ENSP00000278618	9606.ENSP00000409231	0	0	0	0	0.509	0	0	0	0.509
AASDHPPT	ACACA	9606.ENSP00000278618	9606.ENSP00000483300	0.102	0	0	0	0.056	0	0	0.506	0.545
AASDHPPT	CNTNAP3B	9606.ENSP00000278618	9606.ENSP00000478671	0	0.591	0	0	0	0	0	0	0.591
AASDHPPT	CNTNAP2	9606.ENSP00000278618	9606.ENSP00000354778	0	0.671	0	0	0	0	0	0	0.671
AASDHPPT	TMEM126B	9606.ENSP00000278618	9606.ENSP00000351737	0	0	0	0	0.186	0	0	0.825	0.851
AASDHPPT	MCAT	9606.ENSP00000278618	9606.ENSP00000290429	0.231	0	0	0	0.595	0	0	0.647	0.880
ABCB10	CLPP	9606.ENSP00000355637	9606.ENSP00000245816	0	0	0	0	0.068	0.299	0	0.332	0.526
ABCG8	ATP1B4	9606.ENSP00000272286	9606.ENSP00000218008	0	0	0	0	0.069	0	0.360	0.081	0.405
ABCG8	NPC1	9606.ENSP00000272286	9606.ENSP00000269228	0	0	0	0	0.109	0.067	0	0.382	0.441
ABCG8	HNF1A	9606.ENSP00000272286	9606.ENSP00000438804	0	0	0	0	0.232	0	0	0.269	0.414
ABCG8	LPL	9606.ENSP00000272286	9606.ENSP00000497642	0	0	0	0	0	0	0	0.432	0.432
ABCG8	KCNK5	9606.ENSP00000272286	9606.ENSP00000352527	0	0	0	0	0.060	0	0	0.431	0.443
ABCG8	ACACA	9606.ENSP00000272286	9606.ENSP00000483300	0	0	0	0	0	0	0	0.470	0.470
ABCG8	SLC51B	9606.ENSP00000272286	9606.ENSP00000335292	0	0	0	0	0.166	0	0	0.528	0.590
ABHD16A	LYPLA1	9606.ENSP00000379282	9606.ENSP00000320043	0	0	0	0	0	0	0	0.502	0.502
ABHD16A	LYPLA2	9606.ENSP00000379282	9606.ENSP00000363638	0	0	0	0	0.072	0	0	0.453	0.471
ABL1	CD22	9606.ENSP00000361423	9606.ENSP00000085219	0	0	0	0	0	0.102	0	0.543	0.572
ABL1	STUB1	9606.ENSP00000361423	9606.ENSP00000219548	0	0	0	0	0.055	0.636	0	0.398	0.775
ABL1	WASL	9606.ENSP00000361423	9606.ENSP00000223023	0	0	0	0	0.049	0.088	0	0.613	0.635
ABL1	RPS6KB1	9606.ENSP00000361423	9606.ENSP00000225577	0	0	0	0.577	0	0.278	0	0.476	0.606
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	PLCG1	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.548	0.091	0.361	0	0.176	0.479
ABL1	SNAI1	9606.ENSP00000361423	9606.ENSP00000244050	0	0	0	0	0.096	0	0	0.585	0.609
ABL1	ATG14	9606.ENSP00000361423	9606.ENSP00000247178	0	0	0	0	0.043	0	0	0.810	0.810
ABL1	SMO	9606.ENSP00000361423	9606.ENSP00000249373	0	0	0	0	0.072	0.071	0	0.625	0.648
ABL1	EPO	9606.ENSP00000361423	9606.ENSP00000252723	0	0	0	0	0.061	0.046	0	0.484	0.497
ABL1	BLK	9606.ENSP00000361423	9606.ENSP00000259089	0	0	0.073	0.874	0.056	0	0	0.400	0.429
ABL1	CCDC6	9606.ENSP00000361423	9606.ENSP00000263102	0	0	0	0	0.067	0	0	0.561	0.572
ABL1	NBN	9606.ENSP00000361423	9606.ENSP00000265433	0	0	0	0	0	0	0.500	0.134	0.548
ABL1	CDK2	9606.ENSP00000361423	9606.ENSP00000266970	0	0	0	0.653	0.087	0.098	0	0.474	0.530
ABL1	CDH2	9606.ENSP00000361423	9606.ENSP00000269141	0	0	0	0	0	0.067	0.500	0.329	0.659
ABL1	SKP2	9606.ENSP00000361423	9606.ENSP00000274255	0	0	0	0	0.042	0	0	0.599	0.599
ABL1	EPHA1	9606.ENSP00000361423	9606.ENSP00000275815	0	0	0	0.614	0.101	0	0.900	0.441	0.945
ABL1	DOK2	9606.ENSP00000361423	9606.ENSP00000276420	0	0	0	0	0	0.515	0	0.484	0.739
ABL1	NTRK2	9606.ENSP00000361423	9606.ENSP00000277120	0	0	0	0.634	0	0	0.900	0.145	0.910
ABL1	RANBP2	9606.ENSP00000361423	9606.ENSP00000283195	0	0	0	0	0.042	0.117	0	0.501	0.541
ABL1	KIT	9606.ENSP00000361423	9606.ENSP00000288135	0	0	0	0.598	0.056	0.181	0	0.601	0.664
ABL1	NCKAP1L	9606.ENSP00000361423	9606.ENSP00000293373	0	0	0	0	0.044	0.167	0.400	0.149	0.538
ABL1	RUNX1	9606.ENSP00000361423	9606.ENSP00000300305	0	0	0	0	0.042	0	0.400	0.793	0.871
ABL1	BCR	9606.ENSP00000361423	9606.ENSP00000303507	0	0	0	0	0.083	0.737	0.900	0.869	0.996
ABL1	PTPN2	9606.ENSP00000361423	9606.ENSP00000311857	0	0	0	0	0	0.115	0	0.552	0.587
