#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC9	FKTN	9606.ENSP00000261200	9606.ENSP00000223528	0	0	0	0	0	0.046	0	0.629	0.631
ABCC9	RYR2	9606.ENSP00000261200	9606.ENSP00000355533	0	0	0	0	0.060	0.070	0	0.479	0.505
ABCC9	KCNH2	9606.ENSP00000261200	9606.ENSP00000262186	0	0	0	0	0.139	0.053	0	0.554	0.604
ABCG2	SNAI2	9606.ENSP00000498246	9606.ENSP00000020945	0	0	0	0	0.104	0	0	0.492	0.525
ABCG2	SNAI1	9606.ENSP00000498246	9606.ENSP00000244050	0	0	0	0	0.106	0	0	0.516	0.548
ABCG2	KRAS	9606.ENSP00000498246	9606.ENSP00000256078	0	0	0	0	0.052	0.053	0	0.433	0.447
ABCG2	EPCAM	9606.ENSP00000498246	9606.ENSP00000263735	0	0	0	0	0.042	0	0	0.591	0.592
ABCG2	ERBB2	9606.ENSP00000498246	9606.ENSP00000269571	0	0	0	0	0.063	0	0	0.734	0.740
ABCG2	HPGDS	9606.ENSP00000498246	9606.ENSP00000295256	0	0	0	0	0.060	0	0	0.409	0.421
ABCG2	EZH2	9606.ENSP00000498246	9606.ENSP00000320147	0	0	0	0	0.062	0.126	0	0.364	0.433
ABCG2	PXDNL	9606.ENSP00000498246	9606.ENSP00000348645	0	0	0	0	0	0	0	0.536	0.536
ABCG2	PTEN	9606.ENSP00000498246	9606.ENSP00000361021	0	0	0	0	0.053	0	0	0.508	0.514
ABCG2	DHFR	9606.ENSP00000498246	9606.ENSP00000396308	0	0	0	0	0.067	0	0	0.416	0.433
ABCG2	SLC29A2	9606.ENSP00000498246	9606.ENSP00000440329	0	0	0	0	0.060	0.053	0	0.405	0.424
ABI1	ABI3	9606.ENSP00000365312	9606.ENSP00000225941	0	0	0	0.891	0.049	0	0.720	0.144	0.752
ABI1	FXR2	9606.ENSP00000365312	9606.ENSP00000250113	0	0	0	0	0.042	0	0	0.424	0.424
ABI1	LAMTOR1	9606.ENSP00000365312	9606.ENSP00000278671	0	0	0	0	0.049	0.073	0.400	0	0.424
ABI1	ABI2	9606.ENSP00000365312	9606.ENSP00000295851	0	0	0.051	0.964	0	0.751	0.900	0.864	0.996
ABI1	MLLT10	9606.ENSP00000365312	9606.ENSP00000307411	0	0	0	0	0.087	0	0	0.649	0.665
