#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA7	APOD	9606.ENSP00000263094	9606.ENSP00000345179	0	0	0	0	0	0	0	0.437	0.437
ABCA7	FERMT2	9606.ENSP00000263094	9606.ENSP00000342858	0	0	0	0	0	0	0	0.670	0.670
ABCA7	HLA-DRB5	9606.ENSP00000263094	9606.ENSP00000364114	0	0	0	0	0.055	0.045	0	0.673	0.679
ABCA7	TREM2	9606.ENSP00000263094	9606.ENSP00000362205	0	0	0	0	0.056	0	0	0.772	0.775
ABRA	KLHL40	9606.ENSP00000311436	9606.ENSP00000287777	0	0	0	0	0.366	0.049	0	0.160	0.449
ACKR4	TBX21	9606.ENSP00000249887	9606.ENSP00000177694	0	0	0	0	0.077	0	0	0.378	0.402
ACKR4	IL15	9606.ENSP00000249887	9606.ENSP00000296545	0	0	0	0	0.209	0	0	0.311	0.431
ACKR4	KDR	9606.ENSP00000249887	9606.ENSP00000263923	0	0	0	0	0.068	0	0	0.422	0.438
ACKR4	CCL23	9606.ENSP00000249887	9606.ENSP00000481357	0	0	0	0	0.056	0	0	0.460	0.468
ACKR4	CCR2	9606.ENSP00000249887	9606.ENSP00000292301	0	0	0.096	0.800	0	0	0	0.559	0.584
ACKR4	CCL19	9606.ENSP00000249887	9606.ENSP00000308815	0	0	0	0	0.114	0.287	0.900	0.992	0.999
ACTR3C	WAS	9606.ENSP00000252071	9606.ENSP00000365891	0	0	0	0	0	0.520	0.900	0.587	0.978
ACVRL1	KCNA5	9606.ENSP00000373574	9606.ENSP00000252321	0	0	0	0	0.048	0	0	0.471	0.474
ACVRL1	KDR	9606.ENSP00000373574	9606.ENSP00000263923	0	0	0	0	0.148	0.092	0	0.444	0.532
ACVRL1	RGS20	9606.ENSP00000373574	9606.ENSP00000297313	0	0	0	0	0.051	0.127	0	0.388	0.448
ACVRL1	GIPC1	9606.ENSP00000373574	9606.ENSP00000376753	0	0	0	0	0.043	0.077	0	0.435	0.457
ACVRL1	TMEM100	9606.ENSP00000373574	9606.ENSP00000465638	0	0	0	0	0.114	0	0	0.432	0.475
ACVRL1	FKBP1A	9606.ENSP00000373574	9606.ENSP00000383003	0	0	0	0	0	0.233	0	0.689	0.751
ADCY10	GCSH	9606.ENSP00000356825	9606.ENSP00000319531	0	0	0	0	0	0.043	0	0.567	0.567
ADCY10	EZR	9606.ENSP00000356825	9606.ENSP00000338934	0	0	0	0	0	0.045	0	0.810	0.810
ADCY10	PPAN-P2RY11	9606.ENSP00000356825	9606.ENSP00000377385	0	0	0	0	0	0	0	0.440	0.440
ADCY10	CBSL	9606.ENSP00000356825	9606.ENSP00000485527	0	0	0	0	0	0.047	0	0.459	0.463
ADRA1B	NPY1R	9606.ENSP00000306662	9606.ENSP00000354652	0	0	0	0.609	0.080	0	0	0.399	0.424
ADRA1B	PLCB1	9606.ENSP00000306662	9606.ENSP00000338185	0	0	0	0	0.067	0	0.500	0.301	0.645
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0	0	0.930	0.099	0.292	0.900	0.301	0.949
ADRA1D	ADRA1B	9606.ENSP00000368766	9606.ENSP00000306662	0	0	0	0.930	0.099	0.292	0.900	0.301	0.949
ADRA1D	HAX1	9606.ENSP00000368766	9606.ENSP00000329002	0	0	0	0	0	0	0	0.423	0.422
ADRA1D	PLCB1	9606.ENSP00000368766	9606.ENSP00000338185	0	0	0	0	0.067	0	0.500	0.236	0.612
ADRA1D	SMOX	9606.ENSP00000368766	9606.ENSP00000478305	0	0.001	0	0	0.055	0	0	0.409	0.418
ADRB3	MYF5	9606.ENSP00000343782	9606.ENSP00000228644	0	0	0	0	0.055	0	0	0.507	0.514
ADRB3	PPARG	9606.ENSP00000343782	9606.ENSP00000287820	0	0	0	0	0.085	0	0	0.680	0.695
ADRB3	HTR1B	9606.ENSP00000343782	9606.ENSP00000358963	0	0	0	0.783	0.157	0	0	0.396	0.469
AFG1L	YME1L1	9606.ENSP00000357973	9606.ENSP00000318480	0	0	0	0	0	0.070	0	0.536	0.550
AGO3	CREBBP	9606.ENSP00000362287	9606.ENSP00000262367	0	0	0	0	0	0	0.500	0.391	0.682
AGO3	SETD1A	9606.ENSP00000362287	9606.ENSP00000262519	0	0	0	0	0	0.069	0.400	0.102	0.454
AGO3	E2F3	9606.ENSP00000362287	9606.ENSP00000262904	0	0	0	0	0.100	0.071	0.500	0.069	0.559
AGO3	XPO5	9606.ENSP00000362287	9606.ENSP00000265351	0	0	0	0	0.049	0	0.720	0.607	0.886
AGO3	CDKN2B	9606.ENSP00000362287	9606.ENSP00000276925	0	0	0	0	0	0.068	0.500	0.063	0.525
AGO3	SUZ12	9606.ENSP00000362287	9606.ENSP00000316578	0	0	0	0	0.049	0	0.500	0.126	0.548
AGO3	SCMH1	9606.ENSP00000362287	9606.ENSP00000318094	0	0	0	0	0.044	0	0.500	0.070	0.517
AGO3	SOX2	9606.ENSP00000362287	9606.ENSP00000323588	0	0	0	0	0	0	0.500	0.105	0.533
AGO3	H3C13	9606.ENSP00000362287	9606.ENSP00000333277	0	0	0	0	0	0.059	0.500	0.595	0.793
AGO3	ASH2L	9606.ENSP00000362287	9606.ENSP00000340896	0	0	0	0	0	0	0.400	0.113	0.445
