#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCG5	LRP1	9606.ENSP00000384513	9606.ENSP00000243077	0	0	0	0	0.066	0	0	0.473	0.487
ABCG5	PLN	9606.ENSP00000384513	9606.ENSP00000350132	0	0	0	0	0	0	0.720	0	0.720
ABL1	CD79A	9606.ENSP00000361423	9606.ENSP00000221972	0	0	0	0	0	0	0	0.431	0.431
ABL1	CRBN	9606.ENSP00000361423	9606.ENSP00000231948	0	0	0	0	0	0	0	0.419	0.418
ABL1	PLCG1	9606.ENSP00000361423	9606.ENSP00000244007	0	0	0	0.548	0.091	0.361	0	0.176	0.479
ABL1	SNAI1	9606.ENSP00000361423	9606.ENSP00000244050	0	0	0	0	0.096	0	0	0.585	0.609
ABL1	VASP	9606.ENSP00000361423	9606.ENSP00000245932	0	0	0	0	0.043	0.400	0	0.558	0.724
ABL1	SMO	9606.ENSP00000361423	9606.ENSP00000249373	0	0	0	0	0.072	0.071	0	0.625	0.648
ABL1	RFX1	9606.ENSP00000361423	9606.ENSP00000254325	0	0	0	0	0.100	0.295	0	0.427	0.605
ABL1	BARD1	9606.ENSP00000361423	9606.ENSP00000260947	0	0	0	0	0	0.095	0.500	0.175	0.594
ABL1	CLASP1	9606.ENSP00000361423	9606.ENSP00000263710	0	0	0	0	0.056	0.073	0.500	0.108	0.557
ABL1	DNMT3A	9606.ENSP00000361423	9606.ENSP00000264709	0	0	0	0	0.069	0.058	0	0.571	0.591
ABL1	RASA1	9606.ENSP00000361423	9606.ENSP00000274376	0	0	0	0.548	0.049	0.299	0	0.275	0.474
ABL1	MSI2	9606.ENSP00000361423	9606.ENSP00000284073	0	0	0	0	0	0	0	0.562	0.562
ABL1	LRRK2	9606.ENSP00000361423	9606.ENSP00000298910	0	0	0	0.551	0.046	0.188	0	0.387	0.483
ABL1	CRK	9606.ENSP00000361423	9606.ENSP00000300574	0	0	0	0.583	0.056	0.986	0.900	0.953	0.999
ABL1	PKM	9606.ENSP00000361423	9606.ENSP00000320171	0	0	0	0	0.044	0.170	0	0.333	0.425
ABL1	TCHP	9606.ENSP00000361423	9606.ENSP00000324404	0	0	0	0	0.075	0	0	0.555	0.571
ABL1	MRE11	9606.ENSP00000361423	9606.ENSP00000325863	0	0	0	0	0	0.045	0.500	0.483	0.731
ABL1	EPHB3	9606.ENSP00000361423	9606.ENSP00000332118	0	0	0	0.615	0.074	0.043	0.900	0.434	0.943
ABL1	MAPK11	9606.ENSP00000361423	9606.ENSP00000333685	0	0	0	0.596	0.087	0.110	0.500	0.164	0.615
ABL1	FIP1L1	9606.ENSP00000361423	9606.ENSP00000336752	0	0	0	0	0.049	0	0	0.684	0.687
ABL1	DOK3	9606.ENSP00000361423	9606.ENSP00000349727	0	0	0	0	0	0.091	0	0.469	0.496
ABL1	EPHB4	9606.ENSP00000361423	9606.ENSP00000350896	0	0	0	0.618	0.099	0.043	0.900	0.457	0.947
ABL1	PRKN	9606.ENSP00000361423	9606.ENSP00000355865	0	0	0	0	0	0.561	0	0.316	0.687
ABL1	GNAS	9606.ENSP00000361423	9606.ENSP00000360141	0	0	0	0	0	0.067	0	0.480	0.494
ABL1	LATS2	9606.ENSP00000361423	9606.ENSP00000372035	0	0	0	0.549	0.062	0.300	0	0.178	0.413
ABL1	SRPK2	9606.ENSP00000361423	9606.ENSP00000377262	0	0	0	0	0	0.313	0	0.205	0.431
ABL1	MARK2	9606.ENSP00000361423	9606.ENSP00000385751	0	0	0	0.571	0.049	0.071	0	0.443	0.464
ABL1	TNF	9606.ENSP00000361423	9606.ENSP00000398698	0	0	0	0	0	0.057	0	0.471	0.479
ABL1	HSPA8	9606.ENSP00000361423	9606.ENSP00000437125	0	0	0	0	0	0.331	0	0.258	0.482
ABL1	MPL	9606.ENSP00000361423	9606.ENSP00000361548	0	0	0	0	0	0.045	0	0.507	0.509
ABL1	ZNF274	9606.ENSP00000361423	9606.ENSP00000484810	0	0	0	0	0.060	0.071	0	0.498	0.523
ABL1	DEK	9606.ENSP00000361423	9606.ENSP00000498653	0	0	0	0	0	0.046	0	0.599	0.601
ABL1	PTPN11	9606.ENSP00000361423	9606.ENSP00000489597	0	0	0	0.556	0.063	0.097	0	0.568	0.603
ABL1	ASXL1	9606.ENSP00000361423	9606.ENSP00000364839	0	0	0	0	0.081	0.098	0	0.643	0.678
ABL1	CSF3R	9606.ENSP00000361423	9606.ENSP00000362195	0	0	0	0	0.083	0.077	0	0.662	0.689
ABL1	WWTR1	9606.ENSP00000361423	9606.ENSP00000419465	0	0	0	0	0.045	0.071	0.750	0.166	0.790
ABL1	CDK5	9606.ENSP00000361423	9606.ENSP00000419782	0	0	0	0.655	0	0.045	0.800	0.519	0.900
ACADSB	DLD	9606.ENSP00000357873	9606.ENSP00000205402	0.042	0	0	0	0.111	0	0.216	0.300	0.471
ACADSB	HSCB	9606.ENSP00000357873	9606.ENSP00000216027	0	0	0	0	0.043	0.407	0	0	0.408
ADA	FAP	9606.ENSP00000361965	9606.ENSP00000188790	0	0	0	0	0.067	0.292	0	0.849	0.891
ADA	EIF2AK2	9606.ENSP00000361965	9606.ENSP00000233057	0	0	0	0	0.047	0	0	0.570	0.572
ADA	DDX18	9606.ENSP00000361965	9606.ENSP00000263239	0	0	0	0	0.385	0	0	0.104	0.426
ADA	AZIN1	9606.ENSP00000361965	9606.ENSP00000337180	0	0	0	0	0.044	0	0	0.404	0.406
ADA	NSUN7	9606.ENSP00000361965	9606.ENSP00000371201	0	0	0	0	0.101	0	0	0.404	0.441
ADA	TNF	9606.ENSP00000361965	9606.ENSP00000398698	0	0	0	0	0.083	0	0	0.448	0.472
ADH4	UGT1A6	9606.ENSP00000424630	9606.ENSP00000303174	0	0	0	0	0.074	0	0.650	0.172	0.708
ADH4	AKR1B10	9606.ENSP00000424630	9606.ENSP00000352584	0	0	0	0	0.100	0.076	0	0.389	0.448
ADIPOR1	TIMP1	9606.ENSP00000341785	9606.ENSP00000218388	0	0	0	0	0.048	0	0	0.439	0.443
ADIPOR1	RETN	9606.ENSP00000341785	9606.ENSP00000221515	0	0	0	0	0.049	0	0	0.794	0.795
ADIPOR1	LTBR	9606.ENSP00000341785	9606.ENSP00000228918	0	0	0	0	0.047	0	0	0.434	0.437
ADIPOR1	LRP1	9606.ENSP00000341785	9606.ENSP00000243077	0	0	0	0	0	0	0	0.409	0.409
ADIPOR1	PPARGC1A	9606.ENSP00000341785	9606.ENSP00000264867	0	0	0	0	0	0	0	0.737	0.737
ADIPOR1	APPL1	9606.ENSP00000341785	9606.ENSP00000288266	0	0	0	0	0	0.477	0.900	0.996	0.999
ADIPOR1	GNAI2	9606.ENSP00000341785	9606.ENSP00000312999	0	0	0	0	0.074	0.378	0	0	0.400
ADIPOR1	STK11	9606.ENSP00000341785	9606.ENSP00000324856	0	0	0	0	0.058	0.081	0	0.639	0.660
ADIPOR1	APLNR	9606.ENSP00000341785	9606.ENSP00000475344	0	0	0	0	0	0	0	0.429	0.429
ADIPOR1	TNF	9606.ENSP00000341785	9606.ENSP00000398698	0	0	0	0	0	0	0	0.509	0.509
ADM2	RAMP3	9606.ENSP00000379087	9606.ENSP00000242249	0	0	0	0	0	0.900	0.400	0.922	0.994
ADM2	GPHA2	9606.ENSP00000379087	9606.ENSP00000279168	0	0	0	0	0.043	0	0.400	0.057	0.411
ADM2	AKR1B10	9606.ENSP00000379087	9606.ENSP00000352584	0	0	0	0	0.042	0	0	0.763	0.763
ADM2	GNAS	9606.ENSP00000379087	9606.ENSP00000360141	0	0	0	0	0	0.800	0.500	0.053	0.897
