#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	STK11	9606.ENSP00000386456	9606.ENSP00000324856	0	0	0	0.576	0	0.046	0	0.428	0.431
AAR2	RBM22	9606.ENSP00000363043	9606.ENSP00000199814	0	0	0	0	0.109	0	0	0.410	0.452
AATF	DDX10	9606.ENSP00000477848	9606.ENSP00000314348	0	0	0	0	0.888	0.281	0	0.527	0.958
AATF	GCC1	9606.ENSP00000477848	9606.ENSP00000318821	0	0	0	0	0.601	0.786	0	0.203	0.926
ACAD9	ECSIT	9606.ENSP00000312618	9606.ENSP00000270517	0	0	0	0	0.118	0.994	0.800	0.989	0.999
AKAP8	RUNX1T1	9606.ENSP00000269701	9606.ENSP00000402257	0	0	0	0	0	0	0	0.514	0.514
AKAP8	AKAP8L	9606.ENSP00000269701	9606.ENSP00000380557	0	0	0.136	0.760	0.072	0.287	0	0.521	0.689
AKAP8L	AKAP8	9606.ENSP00000380557	9606.ENSP00000269701	0	0	0.136	0.760	0.072	0.287	0	0.521	0.689
ANGPTL3	ITGA5	9606.ENSP00000360170	9606.ENSP00000293379	0	0	0	0	0	0	0	0.513	0.513
ARL6IP6	ATP6V1A	9606.ENSP00000315357	9606.ENSP00000273398	0	0	0	0	0	0	0	0.424	0.424
ATP6AP1L	ATP6V1A	9606.ENSP00000391381	9606.ENSP00000273398	0	0	0	0	0.132	0.311	0.540	0.234	0.761
ATP6V1A	ROCK2	9606.ENSP00000273398	9606.ENSP00000317985	0	0	0	0	0.094	0	0	0.369	0.404
ATP6V1A	ARL6IP6	9606.ENSP00000273398	9606.ENSP00000315357	0	0	0	0	0	0	0	0.424	0.424
ATP6V1A	ATP6AP1L	9606.ENSP00000273398	9606.ENSP00000391381	0	0	0	0	0.132	0.311	0.540	0.234	0.761
AUTS2	DCAF7	9606.ENSP00000344087	9606.ENSP00000483236	0	0	0	0	0.060	0.788	0	0.391	0.868
CALU	SIL1	9606.ENSP00000438248	9606.ENSP00000265195	0	0	0	0	0.061	0	0	0.419	0.431
CALU	FKBP10	9606.ENSP00000438248	9606.ENSP00000317232	0	0	0	0	0.172	0.248	0	0.308	0.531
CEP63	PLK4	9606.ENSP00000336524	9606.ENSP00000270861	0	0	0	0	0.042	0.420	0	0.837	0.902
CEP63	PCM1	9606.ENSP00000336524	9606.ENSP00000327077	0	0	0	0	0.057	0.179	0	0.338	0.443
CEP63	RAB3IP	9606.ENSP00000336524	9606.ENSP00000447300	0	0	0	0	0.044	0	0.500	0	0.501
CEP63	CNTLN	9606.ENSP00000336524	9606.ENSP00000370021	0	0	0	0	0.049	0	0	0.587	0.590
