#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD14A-ACY1	OPLAH	9606.ENSP00000490744	9606.ENSP00000480476	0.057	0	0	0	0	0	0.384	0.246	0.523
ABHD14B	ABHD15	9606.ENSP00000420065	9606.ENSP00000302657	0	0	0	0	0.090	0.068	0	0.459	0.501
ABHD14B	ABHD16B	9606.ENSP00000420065	9606.ENSP00000358932	0	0	0	0	0.080	0	0	0.492	0.513
ABHD15	ABHD14B	9606.ENSP00000302657	9606.ENSP00000420065	0	0	0	0	0.090	0.068	0	0.459	0.501
ABHD15	ABHD16B	9606.ENSP00000302657	9606.ENSP00000358932	0	0	0	0	0.062	0	0	0.571	0.580
ABHD16B	SLC2A4RG	9606.ENSP00000358932	9606.ENSP00000266077	0	0	0	0	0.141	0	0	0.423	0.483
ABHD16B	ABHD15	9606.ENSP00000358932	9606.ENSP00000302657	0	0	0	0	0.062	0	0	0.571	0.580
ABHD16B	ABHD14B	9606.ENSP00000358932	9606.ENSP00000420065	0	0	0	0	0.080	0	0	0.492	0.513
ACKR2	TBX21	9606.ENSP00000416996	9606.ENSP00000177694	0	0	0	0	0	0	0	0.543	0.543
ACKR2	CCR2	9606.ENSP00000416996	9606.ENSP00000292301	0	0	0	0.843	0	0	0	0.803	0.803
ACKR2	RAG1	9606.ENSP00000416996	9606.ENSP00000299440	0	0	0	0	0	0	0	0.475	0.475
ACKR2	IL16	9606.ENSP00000416996	9606.ENSP00000302935	0	0	0	0	0	0.071	0	0.416	0.434
ACKR2	DPP4	9606.ENSP00000416996	9606.ENSP00000353731	0	0	0	0	0	0	0	0.543	0.543
ACKR2	CD40LG	9606.ENSP00000416996	9606.ENSP00000359663	0	0	0	0	0.042	0	0	0.432	0.432
ACKR2	TNF	9606.ENSP00000416996	9606.ENSP00000398698	0	0	0	0	0	0	0	0.548	0.548
ACKR2	CCR3	9606.ENSP00000416996	9606.ENSP00000441600	0	0	0	0.836	0.047	0	0	0.548	0.551
ACKR4	TBX21	9606.ENSP00000249887	9606.ENSP00000177694	0	0	0	0	0.077	0	0	0.378	0.402
ACKR4	TNF	9606.ENSP00000249887	9606.ENSP00000398698	0	0	0	0	0.050	0	0	0.418	0.423
ACKR4	CCR3	9606.ENSP00000249887	9606.ENSP00000441600	0	0	0.086	0.786	0	0	0	0.456	0.481
ACKR4	CCR2	9606.ENSP00000249887	9606.ENSP00000292301	0	0	0.096	0.800	0	0	0	0.559	0.584
ACOT13	GPD1L	9606.ENSP00000230048	9606.ENSP00000282541	0.119	0	0	0	0.047	0	0	0.347	0.403
ACOT13	KIAA0319	9606.ENSP00000230048	9606.ENSP00000367459	0	0	0	0	0.042	0	0	0.945	0.945
ACSM2A	FAM47E	9606.ENSP00000459451	9606.ENSP00000409423	0	0	0	0	0.126	0	0	0.443	0.492
ACSM3	SPAG8	9606.ENSP00000289416	9606.ENSP00000340982	0	0	0	0	0	0	0	0.436	0.436
ADTRP	ARMC12	9606.ENSP00000229583	9606.ENSP00000288065	0	0	0	0	0	0	0	0.409	0.409
ADTRP	EVC2	9606.ENSP00000229583	9606.ENSP00000342144	0	0	0	0	0	0	0	0.492	0.491
ADTRP	TBX10	9606.ENSP00000229583	9606.ENSP00000335191	0	0	0	0	0	0	0	0.493	0.493
AGFG1	CBL	9606.ENSP00000387282	9606.ENSP00000264033	0	0	0	0	0.095	0	0.500	0	0.528
AGFG1	CD3D	9606.ENSP00000387282	9606.ENSP00000300692	0	0	0	0	0	0	0.500	0	0.499
AGFG1	DPY19L2	9606.ENSP00000387282	9606.ENSP00000315988	0	0	0	0	0	0	0	0.587	0.587
AGFG1	KIAA0319	9606.ENSP00000387282	9606.ENSP00000367459	0	0	0	0	0	0	0.500	0.051	0.505
AIF1	CD74	9606.ENSP00000365227	9606.ENSP00000009530	0	0	0	0	0.293	0.067	0	0.433	0.594
AIF1	LGALS3	9606.ENSP00000365227	9606.ENSP00000254301	0	0	0	0	0.049	0	0	0.516	0.520
AIF1	CCR2	9606.ENSP00000365227	9606.ENSP00000292301	0	0	0	0	0.190	0	0	0.583	0.648
AIF1	CSPG4	9606.ENSP00000365227	9606.ENSP00000312506	0	0	0	0	0	0	0	0.542	0.542
AIF1	TJP1	9606.ENSP00000365227	9606.ENSP00000348416	0	0	0	0	0	0	0	0.479	0.479
AIF1	NGF	9606.ENSP00000365227	9606.ENSP00000358525	0	0	0	0	0.055	0	0	0.511	0.518
AIF1	CCR3	9606.ENSP00000365227	9606.ENSP00000441600	0	0	0	0	0.129	0	0	0.399	0.454
AIF1	TNF	9606.ENSP00000365227	9606.ENSP00000398698	0	0	0	0	0.156	0	0	0.826	0.846
ANKRD36C	FAM178B	9606.ENSP00000403302	9606.ENSP00000429896	0	0	0	0	0	0	0	0.480	0.480
APLF	MACROD2	9606.ENSP00000307004	9606.ENSP00000217246	0	0	0	0	0.061	0	0	0.440	0.452
APLF	MACROD1	9606.ENSP00000307004	9606.ENSP00000255681	0	0	0	0	0	0	0	0.450	0.450
APLF	REV1	9606.ENSP00000307004	9606.ENSP00000258428	0	0	0	0	0.049	0	0	0.430	0.434
APLF	PAXX	9606.ENSP00000307004	9606.ENSP00000360682	0	0	0	0	0	0	0	0.721	0.721
APLF	HLTF	9606.ENSP00000307004	9606.ENSP00000308944	0	0	0	0	0	0.737	0	0.093	0.751
APLNR	C5	9606.ENSP00000475344	9606.ENSP00000223642	0	0	0	0	0	0	0.500	0	0.499
APLNR	SOX17	9606.ENSP00000475344	9606.ENSP00000297316	0	0	0	0	0.221	0	0	0.350	0.472
APLNR	TEK	9606.ENSP00000475344	9606.ENSP00000369375	0	0	0	0	0.198	0	0	0.391	0.491
APOBEC1	REV1	9606.ENSP00000229304	9606.ENSP00000258428	0	0	0	0	0	0	0	0.452	0.452
APOBEC1	APOBEC3B	9606.ENSP00000229304	9606.ENSP00000327459	0	0	0	0.702	0	0	0.500	0.320	0.645
APOBEC3B	NPVF	9606.ENSP00000327459	9606.ENSP00000222674	0	0	0	0	0.302	0.181	0	0.137	0.463
APOBEC3B	APOBEC1	9606.ENSP00000327459	9606.ENSP00000229304	0	0	0	0.702	0	0	0.500	0.320	0.645
APOBEC3B	REV1	9606.ENSP00000327459	9606.ENSP00000258428	0	0	0	0	0	0	0	0.424	0.424
APOBEC3B	PIWIL2	9606.ENSP00000327459	9606.ENSP00000349208	0	0	0	0	0	0	0	0.450	0.450
APOBEC3D	NPVF	9606.ENSP00000216099	9606.ENSP00000222674	0	0	0	0	0.302	0.181	0	0.137	0.463
ARMC12	ADTRP	9606.ENSP00000288065	9606.ENSP00000229583	0	0	0	0	0	0	0	0.409	0.409
ASB3	MAP3K4	9606.ENSP00000499751	9606.ENSP00000375986	0	0	0	0	0.050	0.067	0	0.380	0.403
ASB3	JAK3	9606.ENSP00000499751	9606.ENSP00000432511	0	0	0	0	0.087	0.095	0	0.503	0.553
ASB9	SKP2	9606.ENSP00000369855	9606.ENSP00000274255	0	0	0	0	0.062	0	0	0.405	0.418
ASB9	GPD1L	9606.ENSP00000369855	9606.ENSP00000282541	0	0	0	0	0	0.050	0	0.435	0.440
ASCL1	EGR1	9606.ENSP00000266744	9606.ENSP00000239938	0	0	0	0	0.059	0.091	0.500	0.228	0.626
ASCL1	VSX2	9606.ENSP00000266744	9606.ENSP00000261980	0	0	0	0	0.057	0	0	0.565	0.572
ASCL1	ATF1	9606.ENSP00000266744	9606.ENSP00000262053	0	0	0	0	0	0	0.500	0	0.499
ASCL1	KLF1	9606.ENSP00000266744	9606.ENSP00000264834	0	0	0	0	0.059	0.091	0	0.404	0.446
ASCL1	PAX7	9606.ENSP00000266744	9606.ENSP00000364524	0	0	0	0	0.067	0	0	0.396	0.412
ASCL1	FOSL1	9606.ENSP00000266744	9606.ENSP00000310170	0	0	0	0	0.068	0	0	0.413	0.429
ASCL1	SP9	9606.ENSP00000266744	9606.ENSP00000378418	0	0	0	0	0.059	0.091	0	0.403	0.445
ASCL1	DBX1	9606.ENSP00000266744	9606.ENSP00000436881	0	0	0	0	0.068	0.046	0	0.490	0.507
ASCL1	SOX17	9606.ENSP00000266744	9606.ENSP00000297316	0	0	0	0	0	0	0	0.591	0.591
ASCL1	SHH	9606.ENSP00000266744	9606.ENSP00000297261	0	0	0	0	0.081	0.070	0	0.632	0.658
ASPSCR1	TIMP1	9606.ENSP00000306625	9606.ENSP00000218388	0	0	0	0	0	0	0	0.425	0.424
ASPSCR1	UBXN11	9606.ENSP00000306625	9606.ENSP00000363339	0	0	0	0	0.061	0.134	0	0.475	0.536
ATF1	MAPK13	9606.ENSP00000262053	9606.ENSP00000211287	0	0	0	0	0.069	0	0	0.540	0.554
ATF1	EGR1	9606.ENSP00000262053	9606.ENSP00000239938	0	0	0	0	0.087	0.047	0.500	0.164	0.587
ATF1	ASCL1	9606.ENSP00000262053	9606.ENSP00000266744	0	0	0	0	0	0	0.500	0	0.499
ATG101	MTMR14	9606.ENSP00000338990	9606.ENSP00000296003	0	0	0	0	0.055	0	0	0.449	0.457
ATG101	SQSTM1	9606.ENSP00000338990	9606.ENSP00000374455	0	0	0	0	0.067	0.095	0	0.690	0.715
ATP2A2	SPRTN	9606.ENSP00000440045	9606.ENSP00000295050	0	0	0	0	0	0.510	0	0	0.510
ATP2A2	SIX5	9606.ENSP00000440045	9606.ENSP00000316842	0	0	0	0	0.057	0	0	0.491	0.499
ATP2A2	KCND3	9606.ENSP00000440045	9606.ENSP00000319591	0	0	0	0	0	0	0	0.450	0.450
