#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAAS	GCKR	9606.ENSP00000209873	9606.ENSP00000264717	0	0	0	0	0	0	0.400	0	0.400
AAAS	HSPA12A	9606.ENSP00000209873	9606.ENSP00000489674	0	0	0	0	0	0	0.400	0	0.400
AAAS	NEK9	9606.ENSP00000209873	9606.ENSP00000238616	0	0	0	0	0.069	0	0.400	0	0.418
AAAS	GEMIN7	9606.ENSP00000209873	9606.ENSP00000270257	0	0	0	0	0.075	0	0.400	0	0.421
AAAS	TARBP2	9606.ENSP00000209873	9606.ENSP00000266987	0	0	0	0	0.389	0	0	0.093	0.422
AAAS	CDK1	9606.ENSP00000209873	9606.ENSP00000378699	0	0	0	0	0.089	0	0.400	0	0.430
AAAS	SUMO1	9606.ENSP00000209873	9606.ENSP00000376077	0	0	0	0	0.108	0	0.400	0.054	0.449
AAAS	U2AF2	9606.ENSP00000209873	9606.ENSP00000307863	0	0	0	0	0.127	0	0.400	0	0.453
AAAS	LAS1L	9606.ENSP00000209873	9606.ENSP00000363944	0	0	0	0	0.437	0	0	0.074	0.456
AAAS	HNRNPC	9606.ENSP00000209873	9606.ENSP00000451291	0	0	0	0	0.164	0	0.400	0	0.476
AAAS	NXF2B	9606.ENSP00000209873	9606.ENSP00000472530	0	0	0	0	0	0	0.500	0.046	0.502
AAAS	UPF3B	9606.ENSP00000209873	9606.ENSP00000276201	0	0	0	0	0.055	0	0.500	0	0.507
AAAS	ERAL1	9606.ENSP00000209873	9606.ENSP00000254928	0	0	0	0	0.521	0	0	0	0.521
AAAS	CIT	9606.ENSP00000209873	9606.ENSP00000376306	0	0	0	0	0.055	0.292	0.400	0	0.563
AAAS	UBE2I	9606.ENSP00000209873	9606.ENSP00000348056	0	0	0	0	0.056	0.445	0.500	0	0.715
AAAS	GLE1	9606.ENSP00000209873	9606.ENSP00000308622	0	0	0	0	0.183	0	0.400	0.709	0.844
AAAS	RAE1	9606.ENSP00000209873	9606.ENSP00000379181	0	0	0	0	0.060	0.094	0.800	0.608	0.924
AAAS	NUP58	9606.ENSP00000209873	9606.ENSP00000371155	0	0	0	0	0.065	0.800	0.500	0.457	0.942
AAAS	NUP133	9606.ENSP00000209873	9606.ENSP00000261396	0	0	0	0	0.158	0.839	0.500	0.447	0.957
AAAS	NUP98	9606.ENSP00000209873	9606.ENSP00000316032	0	0	0	0	0.099	0.800	0.500	0.610	0.960
AAAS	NUP85	9606.ENSP00000209873	9606.ENSP00000245544	0	0	0	0	0.245	0.800	0.800	0.575	0.985
